wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,5650,178,1106,39,t00
dolnośląskie,bolesławiecki,12363,328,4508,6,t0201
dolnośląskie,dzierżoniowski,11093,169,3825,20,t0202
dolnośląskie,głogowski,10319,215,3185,40,t0203
dolnośląskie,górowski,3438,85,1204,29,t0204
dolnośląskie,jaworski,6846,138,2321,60,t0205
dolnośląskie,jeleniogórski,9392,345,3114,20,t0206
dolnośląskie,kamiennogórski,4769,70,1791,35,t0207
dolnośląskie,kłodzki,28442,682,10447,148,t0208
dolnośląskie,legnicki,4151,264,1402,100,t0209
dolnośląskie,lubański,5143,112,1632,35,t0210
dolnośląskie,lubiński,22055,446,7648,136,t0211
dolnośląskie,lwówecki,5648,153,2035,9,t0212
dolnośląskie,milicki,6012,148,2105,98,t0213
dolnośląskie,oleśnicki,9416,310,3190,66,t0214
dolnośląskie,oławski,11328,442,3536,120,t0215
dolnośląskie,polkowicki,2849,96,1018,24,t0216
dolnośląskie,strzeliński,6344,174,2288,54,t0217
dolnośląskie,średzki,4219,82,1435,0,t0218
dolnośląskie,świdnicki,17400,257,6130,29,t0219
dolnośląskie,trzebnicki,11848,360,4037,114,t0220
dolnośląskie,wałbrzyski,6646,304,2539,87,t0221
dolnośląskie,wołowski,6689,54,2343,39,t0222
dolnośląskie,wrocławski,12607,307,4362,64,t0223
dolnośląskie,ząbkowicki,10240,322,3607,60,t0224
dolnośląskie,zgorzelecki,11914,211,4569,34,t0225
dolnośląskie,złotoryjski,5155,130,1609,30,t0226
dolnośląskie,Jelenia Góra,14445,437,4996,90,t0261
dolnośląskie,Legnica,13484,343,4434,25,t0262
dolnośląskie,Wrocław,167793,3395,57506,715,t0264
dolnośląskie,Wałbrzych,48510,1242,14320,174,t0265
kujawsko-pomorskie,aleksandrowski,30392,774,9861,168,t0401
kujawsko-pomorskie,brodnicki,9736,216,3285,27,t0402
kujawsko-pomorskie,bydgoski,8190,284,2897,66,t0403
kujawsko-pomorskie,chełmiński,5786,127,1938,27,t0404
kujawsko-pomorskie,golubsko-dobrzyński,4552,137,1497,46,t0405
kujawsko-pomorskie,grudziądzki,2625,81,885,6,t0406
kujawsko-pomorskie,inowrocławski,19579,623,6520,151,t0407
kujawsko-pomorskie,lipnowski,7596,211,2664,70,t0408
kujawsko-pomorskie,mogileński,4259,178,1311,19,t0409
kujawsko-pomorskie,nakielski,5802,50,1784,0,t0410
kujawsko-pomorskie,radziejowski,5262,166,1734,67,t0411
kujawsko-pomorskie,rypiński,4952,55,1553,32,t0412
kujawsko-pomorskie,sępoleński,7484,48,2781,1,t0413
kujawsko-pomorskie,świecki,10631,324,3919,92,t0414
kujawsko-pomorskie,toruński,7707,194,2705,82,t0415
kujawsko-pomorskie,tucholski,4817,41,1667,33,t0416
kujawsko-pomorskie,wąbrzeski,4644,143,1663,69,t0417
kujawsko-pomorskie,włocławski,7802,148,3008,32,t0418
kujawsko-pomorskie,żniński,7068,326,2389,88,t0419
kujawsko-pomorskie,Bydgoszcz,69869,1634,24457,261,t0461
kujawsko-pomorskie,Grudziądz,16654,763,4283,35,t0462
kujawsko-pomorskie,Toruń,29011,755,10073,115,t0463
kujawsko-pomorskie,Włocławek,12796,147,4358,21,t0464
lubelskie,bialski,11439,354,4052,179,t0601
lubelskie,biłgorajski,10663,421,3557,102,t0602
lubelskie,chełmski,6115,213,2098,85,t0603
lubelskie,hrubieszowski,8614,273,2950,85,t0604
lubelskie,janowski,7076,140,2502,7,t0605
lubelskie,krasnostawski,8071,197,2994,96,t0606
lubelskie,kraśnicki,10578,319,3715,102,t0607
lubelskie,lubartowski,10595,214,3838,112,t0608
lubelskie,lubelski,14907,351,5359,131,t0609
lubelskie,łęczyński,7912,306,2682,19,t0610
lubelskie,łukowski,10868,314,3830,156,t0611
lubelskie,opolski,7837,305,2755,133,t0612
lubelskie,parczewski,5889,250,2185,83,t0613
lubelskie,puławski,18360,418,6835,219,t0614
lubelskie,radzyński,7495,305,2733,135,t0615
lubelskie,rycki,9819,348,3361,125,t0616
lubelskie,świdnicki,8043,275,2928,139,t0617
lubelskie,tomaszowski,10050,354,3654,122,t0618
lubelskie,włodawski,6978,270,2476,68,t0619
lubelskie,zamojski,10098,353,3633,86,t0620
lubelskie,Biała Podlaska,13002,718,4023,89,t0661
lubelskie,Chełm,9990,259,3200,68,t0662
lubelskie,Lublin,101645,1976,35379,521,t0663
lubelskie,Zamość,15456,655,4617,78,t0664
lubuskie,gorzowski,6155,152,2184,8,t0801
lubuskie,krośnieński,8109,425,2558,54,t0802
lubuskie,międzyrzecki,10092,324,3448,54,t0803
lubuskie,nowosolski,12435,435,4149,74,t0804
lubuskie,słubicki,5458,106,1843,11,t0805
lubuskie,strzelecko-drezdenecki,6454,140,2135,62,t0806
lubuskie,sulęciński,4377,254,1434,37,t0807
lubuskie,świebodziński,7889,71,2948,0,t0808
