wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,10,0,1,0,t00,5,0,0,0,4,0
dolnośląskie,bolesławiecki,108771,0,38515,0,t0201,47146,0,145,0,22965,0
dolnośląskie,dzierżoniowski,106752,24,37515,1,t0202,42390,3,154,0,26693,20
dolnośląskie,głogowski,105893,16,35152,3,t0203,42090,1,186,2,28465,10
dolnośląskie,górowski,38382,0,13954,0,t0204,16466,0,80,0,7882,0
dolnośląskie,jaworski,60036,4,20765,0,t0205,25190,0,44,0,14037,4
dolnośląskie,jeleniogórski,72587,18,26293,0,t0206,31455,1,401,0,14438,17
dolnośląskie,kamiennogórski,49436,5,17219,1,t0207,19528,0,115,0,12574,4
dolnośląskie,kłodzki,190743,2,68130,0,t0208,77965,0,1318,0,43330,2
dolnośląskie,legnicki,63731,0,22014,0,t0209,27389,0,268,0,14060,0
dolnośląskie,lubański,48729,7,14816,0,t0210,20419,2,110,0,13384,5
dolnośląskie,lubiński,177797,6,66908,0,t0211,73700,0,1010,0,36179,6
dolnośląskie,lwówecki,63771,0,22875,0,t0212,26509,0,319,0,14068,0
dolnośląskie,milicki,50101,2,18760,1,t0213,20818,0,120,0,10403,1
dolnośląskie,oleśnicki,168897,21,56315,0,t0214,67363,2,507,0,44712,19
dolnośląskie,oławski,58279,0,22871,0,t0215,25882,0,99,0,9427,0
dolnośląskie,polkowicki,61941,0,21240,0,t0216,27004,0,52,0,13645,0
dolnośląskie,strzeliński,55229,0,20108,0,t0217,22664,0,518,0,11939,0
dolnośląskie,średzki,38454,2,12670,0,t0218,14487,1,483,0,10814,1
dolnośląskie,świdnicki,165087,12,55588,2,t0219,65061,0,1270,1,43168,9
dolnośląskie,trzebnicki,90849,0,33402,0,t0220,35447,0,461,0,21539,0
