wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,-,-,4604,-,-,1.2,264,39,225,17689,6251,177875,42669,5600,36438,631,t00
dolnośląskie,-,-,312,-,-,1.08,29,13,16,1089,364,12239,3981,411,3490,80,t02
kujawsko-pomorskie,-,-,452,-,-,2.18,20,0,20,1635,576,12163,2806,582,2184,40,t04
lubelskie,-,-,336,-,-,1.6,18,3,15,900,360,7572,2226,406,1775,45,t06
lubuskie,-,-,93,-,-,0.92,5,3,2,530,182,4971,1069,107,951,11,t08
łódzkie,-,-,256,-,-,1.05,13,1,12,953,347,11289,2830,302,2481,47,t10
małopolskie,-,-,159,-,-,0.47,18,3,15,818,230,8986,2421,202,2185,34,t12
mazowieckie,-,-,570,-,-,1.05,34,3,31,2668,896,36265,5458,719,4650,89,t14
opolskie,-,-,78,-,-,0.8,10,1,9,362,162,3958,941,96,840,5,t16
podkarpackie,-,-,136,-,-,0.64,3,0,3,494,240,5358,1718,199,1509,10,t18
podlaskie,-,-,145,-,-,1.23,0,0,0,694,153,5403,1036,163,861,12,t20
pomorskie,-,-,361,-,-,1.54,25,3,22,1398,670,15401,2682,398,2227,57,t22
śląskie,-,-,342,-,-,0.76,36,5,31,1668,416,13569,4033,416,3565,52,t24
świętokrzyskie,-,-,86,-,-,0.7,5,0,5,278,108,2764,1211,135,1049,27,t26
warmińsko-mazurskie,-,-,383,-,-,2.7,23,4,19,1131,302,8838,1860,406,1448,6,t28
wielkopolskie,-,-,442,-,-,1.26,13,0,13,1955,818,17942,3700,537,3120,43,t30
zachodniopomorskie,-,-,298,-,-,1.76,12,0,12,1110,372,11145,2109,338,1723,48,t32
