wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,-,-,3678,-,-,0.96,56.0,5.0,51.0,319.0,10061,153848,17341,4292,12691,358,t00
dolnośląskie,-,-,153,-,-,0.53,,,,9.0,621,9850,692,170,507,15,t02
kujawsko-pomorskie,-,-,326,-,-,1.58,6.0,,6.0,87.0,986,13955,1210,413,761,36,t04
lubelskie,-,-,103,-,-,0.49,6.0,1.0,5.0,8.0,477,7321,611,140,455,16,t06
lubuskie,-,-,65,-,-,0.64,,,,3.0,313,5246,345,86,249,10,t08
łódzkie,-,-,199,-,-,0.81,2.0,1.0,1.0,17.0,609,10071,1196,243,923,30,t10
małopolskie,-,-,115,-,-,0.34,2.0,1.0,1.0,3.0,329,5188,843,134,696,13,t12
mazowieckie,-,-,532,-,-,0.98,8.0,,8.0,27.0,1161,23148,2361,629,1668,64,t14
opolskie,-,-,99,-,-,1.01,1.0,,1.0,8.0,244,3314,429,118,306,5,t16
podkarpackie,-,-,68,-,-,0.32,1.0,1.0,,6.0,223,3789,553,101,442,10,t18
podlaskie,-,-,93,-,-,0.79,1.0,,1.0,4.0,249,3868,379,112,260,7,t20
pomorskie,-,-,536,-,-,2.28,4.0,,4.0,38.0,953,13745,1717,561,1117,39,t22
śląskie,-,-,279,-,-,0.62,3.0,1.0,2.0,22.0,845,11937,1452,307,1120,25,t24
świętokrzyskie,-,-,51,-,-,0.41,,,,,215,2112,458,57,389,12,t26
warmińsko-mazurskie,-,-,188,-,-,1.32,1.0,,1.0,9.0,683,10929,686,198,484,4,t28
wielkopolskie,-,-,387,-,-,1.11,18.0,,18.0,51.0,1038,16558,1732,456,1257,19,t30
zachodniopomorskie,-,-,270,-,-,1.59,3.0,,3.0,27.0,997,12808,916,317,581,18,t32
