wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,436,206,642,0.11,0.05,0.17,2,0,2,1218,0,0,3017,662,2352,3,t0000,2024-10-28
dolnośląskie,bolesławiecki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,5,0,5,0,t0201,2024-10-28
dolnośląskie,dzierżoniowski,0,1,1,0.0,0.1,0.1,0,0,0,1,0,0,5,1,4,0,t0202,2024-10-28
dolnośląskie,głogowski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,4,1,3,0,t0203,2024-10-28
dolnośląskie,górowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0204,2024-10-28
dolnośląskie,jaworski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0205,2024-10-28
dolnośląskie,jeleniogórski,1,0,1,0.16,0.0,0.16,0,0,0,4,0,0,9,1,8,0,t0206,2024-10-28
dolnośląskie,kamiennogórski,1,0,1,0.23,0.0,0.23,0,0,0,0,0,0,1,1,0,0,t0207,2024-10-28
dolnośląskie,kłodzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0208,2024-10-28
dolnośląskie,legnicki,1,0,1,0.18,0.0,0.18,0,0,0,1,0,0,1,1,0,0,t0209,2024-10-28
dolnośląskie,lubański,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0210,2024-10-28
dolnośląskie,lubiński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0211,2024-10-28
dolnośląskie,lwówecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0212,2024-10-28
dolnośląskie,milicki,2,1,3,0.54,0.27,0.81,0,0,0,3,0,0,3,3,0,0,t0213,2024-10-28
dolnośląskie,oleśnicki,2,0,2,0.19,0.0,0.19,0,0,0,1,0,0,3,2,1,0,t0214,2024-10-28
dolnośląskie,oławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0215,2024-10-28
dolnośląskie,polkowicki,0,1,1,0.0,0.16,0.16,0,0,0,0,0,0,1,1,0,0,t0216,2024-10-28
dolnośląskie,strzeliński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,t0217,2024-10-28
dolnośląskie,średzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0218,2024-10-28
