wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,1814,545,2359,0.47,0.14,0.62,13,5,8,2202,0,0,8956,2588,6337,31,t0000,2023-03-24
dolnośląskie,bolesławiecki,3,4,7,0.33,0.44,0.78,0,0,0,3,0,0,12,8,4,0,t0201,2023-03-24
dolnośląskie,dzierżoniowski,3,1,4,0.3,0.1,0.4,0,0,0,12,0,0,32,4,28,0,t0202,2023-03-24
dolnośląskie,głogowski,5,0,5,0.56,0.0,0.56,0,0,0,0,0,0,16,5,11,0,t0203,2023-03-24
dolnośląskie,górowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0204,2023-03-24
dolnośląskie,jaworski,0,1,1,0.0,0.2,0.2,0,0,0,1,0,0,5,1,4,0,t0205,2023-03-24
dolnośląskie,jeleniogórski,1,0,1,0.16,0.0,0.16,0,0,0,1,0,0,10,1,8,1,t0206,2023-03-24
dolnośląskie,kamiennogórski,1,0,1,0.23,0.0,0.23,0,0,0,1,0,0,4,1,3,0,t0207,2023-03-24
dolnośląskie,kłodzki,1,0,1,0.06,0.0,0.06,0,0,0,1,0,0,13,2,11,0,t0208,2023-03-24
dolnośląskie,legnicki,2,0,2,0.36,0.0,0.36,0,0,0,0,0,0,6,3,3,0,t0209,2023-03-24
dolnośląskie,lubański,0,1,1,0.0,0.18,0.18,0,0,0,1,0,0,2,1,1,0,t0210,2023-03-24
dolnośląskie,lubiński,6,2,8,0.57,0.19,0.75,0,0,0,10,0,0,18,8,10,0,t0211,2023-03-24
dolnośląskie,lwówecki,2,3,5,0.44,0.66,1.09,0,0,0,3,0,0,25,6,19,0,t0212,2023-03-24
dolnośląskie,milicki,10,3,13,2.71,0.81,3.52,0,0,0,0,0,0,59,13,46,0,t0213,2023-03-24
dolnośląskie,oleśnicki,1,0,1,0.09,0.0,0.09,0,0,0,0,0,0,13,1,12,0,t0214,2023-03-24
dolnośląskie,oławski,4,0,4,0.52,0.0,0.52,0,0,0,0,0,0,13,4,9,0,t0215,2023-03-24
dolnośląskie,polkowicki,2,0,2,0.32,0.0,0.32,0,0,0,1,0,0,3,2,1,0,t0216,2023-03-24
dolnośląskie,strzeliński,4,2,6,0.92,0.46,1.38,0,0,0,0,0,0,14,6,8,0,t0217,2023-03-24
dolnośląskie,średzki,2,1,3,0.36,0.18,0.54,0,0,0,7,0,0,15,3,12,0,t0218,2023-03-24
dolnośląskie,świdnicki,3,3,6,0.19,0.19,0.38,0,0,0,9,0,0,23,7,16,0,t0219,2023-03-24
dolnośląskie,trzebnicki,2,0,2,0.23,0.0,0.23,0,0,0,0,0,0,15,2,13,0,t0220,2023-03-24
dolnośląskie,wałbrzyski,4,1,5,0.72,0.18,0.9,0,0,0,1,0,0,13,5,8,0,t0221,2023-03-24
dolnośląskie,wołowski,1,0,1,0.21,0.0,0.21,0,0,0,0,0,0,8,3,5,0,t0222,2023-03-24
dolnośląskie,wrocławski,14,1,15,0.91,0.06,0.97,0,0,0,8,0,0,74,15,59,0,t0223,2023-03-24
dolnośląskie,ząbkowicki,5,1,6,0.78,0.16,0.93,0,0,0,5,0,0,15,6,9,0,t0224,2023-03-24
dolnośląskie,zgorzelecki,2,1,3,0.23,0.11,0.34,0,0,0,3,0,0,4,3,1,0,t0225,2023-03-24
dolnośląskie,złotoryjski,5,2,7,1.16,0.46,1.62,0,0,0,1,0,0,12,7,5,0,t0226,2023-03-24
dolnośląskie,Jelenia Góra,2,0,2,0.25,0.0,0.25,0,0,0,1,0,0,21,5,16,0,t0261,2023-03-24
dolnośląskie,Legnica,5,1,6,0.5,0.1,0.61,0,0,0,0,0,0,19,6,13,0,t0262,2023-03-24
dolnośląskie,Wrocław,59,19,78,0.92,0.3,1.21,0,0,0,32,0,0,217,86,131,0,t0264,2023-03-24
dolnośląskie,Wałbrzych,1,0,1,0.09,0.0,0.09,0,0,0,0,0,0,6,2,4,0,t0265,2023-03-24
kujawsko-pomorskie,aleksandrowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,4,0,4,0,t0401,2023-03-24
kujawsko-pomorskie,brodnicki,2,0,2,0.25,0.0,0.25,0,0,0,1,0,0,14,2,12,0,t0402,2023-03-24
kujawsko-pomorskie,bydgoski,4,2,6,0.33,0.17,0.5,0,0,0,4,0,0,36,6,29,1,t0403,2023-03-24
kujawsko-pomorskie,chełmiński,1,0,1,0.19,0.0,0.19,0,0,0,13,0,0,14,1,13,0,t0404,2023-03-24
kujawsko-pomorskie,golubsko-dobrzyński,2,1,3,0.44,0.22,0.67,0,0,0,2,0,0,17,3,14,0,t0405,2023-03-24
kujawsko-pomorskie,grudziądzki,1,3,4,0.25,0.75,0.99,0,0,0,2,0,0,10,5,5,0,t0406,2023-03-24
kujawsko-pomorskie,inowrocławski,21,2,23,1.32,0.13,1.44,0,0,0,43,0,0,100,23,77,0,t0407,2023-03-24
kujawsko-pomorskie,lipnowski,3,0,3,0.46,0.0,0.46,0,0,0,2,0,0,8,3,5,0,t0408,2023-03-24
kujawsko-pomorskie,mogileński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,7,0,7,0,t0409,2023-03-24
kujawsko-pomorskie,nakielski,6,1,7,0.7,0.12,0.81,0,0,0,12,0,0,24,7,17,0,t0410,2023-03-24
kujawsko-pomorskie,radziejowski,2,0,2,0.5,0.0,0.5,0,0,0,2,0,0,8,2,6,0,t0411,2023-03-24
kujawsko-pomorskie,rypiński,2,1,3,0.46,0.23,0.69,0,0,0,1,0,0,7,3,4,0,t0412,2023-03-24
kujawsko-pomorskie,sępoleński,2,1,3,0.49,0.24,0.73,0,0,0,6,0,0,8,3,5,0,t0413,2023-03-24
kujawsko-pomorskie,świecki,5,0,5,0.51,0.0,0.51,0,0,0,2,0,0,12,5,7,0,t0414,2023-03-24
kujawsko-pomorskie,toruński,3,2,5,0.28,0.18,0.46,0,0,0,15,0,0,22,5,17,0,t0415,2023-03-24
kujawsko-pomorskie,tucholski,1,1,2,0.21,0.21,0.41,0,0,0,2,0,0,4,2,2,0,t0416,2023-03-24
kujawsko-pomorskie,wąbrzeski,3,1,4,0.88,0.29,1.17,0,0,0,5,0,0,7,4,3,0,t0417,2023-03-24
kujawsko-pomorskie,włocławski,7,0,7,0.81,0.0,0.81,0,0,0,16,0,0,36,8,28,0,t0418,2023-03-24
kujawsko-pomorskie,żniński,9,3,12,1.28,0.43,1.71,0,0,0,10,0,0,35,13,22,0,t0419,2023-03-24
kujawsko-pomorskie,Bydgoszcz,12,7,19,0.35,0.2,0.55,0,0,0,20,0,0,95,21,73,1,t0461,2023-03-24
kujawsko-pomorskie,Grudziądz,11,3,14,1.17,0.32,1.49,0,0,0,10,0,0,34,14,20,0,t0462,2023-03-24
kujawsko-pomorskie,Toruń,3,2,5,0.15,0.1,0.25,0,0,0,10,0,0,27,5,22,0,t0463,2023-03-24
kujawsko-pomorskie,Włocławek,6,1,7,0.55,0.09,0.64,0,0,0,11,0,0,27,7,20,0,t0464,2023-03-24
lubelskie,bialski,7,1,8,0.63,0.09,0.72,0,0,0,3,0,0,33,8,25,0,t0601,2023-03-24
lubelskie,biłgorajski,3,0,3,0.3,0.0,0.3,0,0,0,5,0,0,17,3,14,0,t0602,2023-03-24
lubelskie,chełmski,6,0,6,0.77,0.0,0.77,0,0,0,7,0,0,17,7,10,0,t0603,2023-03-24
lubelskie,hrubieszowski,5,0,5,0.8,0.0,0.8,0,0,0,2,0,0,22,5,17,0,t0604,2023-03-24
lubelskie,janowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,7,0,7,0,t0605,2023-03-24
lubelskie,krasnostawski,0,0,0,0.0,0.0,0.0,1,0,1,0,0,0,9,0,9,0,t0606,2023-03-24
lubelskie,kraśnicki,3,1,4,0.32,0.11,0.42,0,0,0,1,0,0,31,5,26,0,t0607,2023-03-24
lubelskie,lubartowski,3,0,3,0.34,0.0,0.34,0,0,0,2,0,0,20,4,16,0,t0608,2023-03-24
lubelskie,lubelski,14,3,17,0.9,0.19,1.09,0,0,0,12,0,0,69,21,48,0,t0609,2023-03-24
lubelskie,łęczyński,5,1,6,0.87,0.17,1.05,0,0,0,4,0,0,13,7,6,0,t0610,2023-03-24
lubelskie,łukowski,2,2,4,0.19,0.19,0.38,0,0,0,3,0,0,16,4,12,0,t0611,2023-03-24
lubelskie,opolski,2,1,3,0.34,0.17,0.51,0,0,0,1,0,0,8,3,5,0,t0612,2023-03-24
lubelskie,parczewski,1,1,2,0.29,0.29,0.58,0,0,0,1,0,0,6,2,4,0,t0613,2023-03-24
lubelskie,puławski,16,8,24,1.42,0.71,2.13,0,0,0,15,0,0,56,25,31,0,t0614,2023-03-24
lubelskie,radzyński,4,2,6,0.68,0.34,1.02,0,0,0,2,0,0,18,6,12,0,t0615,2023-03-24
lubelskie,rycki,7,3,10,1.25,0.54,1.79,0,0,0,9,0,0,19,11,8,0,t0616,2023-03-24
lubelskie,świdnicki,9,4,13,1.25,0.56,1.81,0,0,0,12,0,0,42,13,29,0,t0617,2023-03-24
lubelskie,tomaszowski,4,1,5,0.49,0.12,0.61,0,0,0,0,0,0,19,5,14,0,t0618,2023-03-24
lubelskie,włodawski,1,0,1,0.26,0.0,0.26,0,0,0,6,0,0,14,1,13,0,t0619,2023-03-24
lubelskie,zamojski,4,1,5,0.38,0.09,0.47,0,0,0,4,0,0,14,5,9,0,t0620,2023-03-24
lubelskie,Biała Podlaska,2,1,3,0.35,0.17,0.52,0,0,0,4,0,0,20,3,17,0,t0661,2023-03-24
lubelskie,Chełm,4,1,5,0.65,0.16,0.81,0,0,0,4,0,0,15,5,10,0,t0662,2023-03-24
lubelskie,Lublin,18,10,28,0.53,0.29,0.82,0,0,0,21,0,0,118,29,89,0,t0663,2023-03-24
lubelskie,Zamość,3,0,3,0.47,0.0,0.47,0,0,0,4,0,0,8,3,5,0,t0664,2023-03-24
lubuskie,gorzowski,2,0,2,0.28,0.0,0.28,0,0,0,3,0,0,9,2,7,0,t0801,2023-03-24
lubuskie,krośnieński,1,0,1,0.18,0.0,0.18,0,0,0,0,0,0,2,1,1,0,t0802,2023-03-24
lubuskie,międzyrzecki,3,0,3,0.52,0.0,0.52,0,0,0,1,0,0,12,3,9,0,t0803,2023-03-24
lubuskie,nowosolski,2,0,2,0.23,0.0,0.23,0,0,0,1,0,0,6,2,4,0,t0804,2023-03-24
lubuskie,słubicki,2,1,3,0.43,0.21,0.64,0,0,0,0,0,0,9,3,6,0,t0805,2023-03-24
lubuskie,strzelecko-drezdenecki,4,0,4,0.82,0.0,0.82,0,0,0,9,0,0,33,4,28,1,t0806,2023-03-24
lubuskie,sulęciński,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2,0,2,0,t0807,2023-03-24
lubuskie,świebodziński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0808,2023-03-24
lubuskie,zielonogórski,0,1,1,0.0,0.13,0.13,0,0,0,4,0,0,10,2,8,0,t0809,2023-03-24
