wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
dolnośląskie,zgorzelecki,-,-,37,-,-,4.17,0,0,0,36,5,445,153,41,112,0,t0225,2022-01-11
dolnośląskie,złotoryjski,-,-,5,-,-,1.16,0,0,0,33,6,215,66,5,60,1,t0226,2022-01-11
dolnośląskie,Jelenia Góra,-,-,21,-,-,2.67,6,0,6,58,26,392,128,30,97,1,t0261,2022-01-11
dolnośląskie,Legnica,-,-,31,-,-,3.13,3,3,0,51,12,456,229,44,182,3,t0262,2022-01-11
dolnośląskie,Wrocław,-,-,505,-,-,7.84,17,16,1,465,229,4163,2321,584,1699,38,t0264,2022-01-11
dolnośląskie,Wałbrzych,-,-,36,-,-,3.25,0,0,0,45,15,556,285,41,244,0,t0265,2022-01-11
kujawsko-pomorskie,aleksandrowski,-,-,14,-,-,2.55,0,0,0,35,6,193,138,16,121,1,t0401,2022-01-11
kujawsko-pomorskie,brodnicki,-,-,14,-,-,1.77,2,0,2,35,11,325,165,16,144,5,t0402,2022-01-11
kujawsko-pomorskie,bydgoski,-,-,43,-,-,3.6,3,0,3,88,27,548,272,49,217,6,t0403,2022-01-11
kujawsko-pomorskie,chełmiński,-,-,14,-,-,2.7,1,0,1,40,8,202,93,16,76,1,t0404,2022-01-11
kujawsko-pomorskie,golubsko-dobrzyński,-,-,20,-,-,4.45,0,0,0,49,10,154,103,21,80,2,t0405,2022-01-11
kujawsko-pomorskie,grudziądzki,-,-,12,-,-,2.98,2,2,0,24,5,195,116,14,101,1,t0406,2022-01-11
kujawsko-pomorskie,inowrocławski,-,-,74,-,-,4.65,1,0,1,140,18,699,371,82,282,7,t0407,2022-01-11
kujawsko-pomorskie,lipnowski,-,-,12,-,-,1.83,1,0,1,15,4,205,98,12,85,1,t0408,2022-01-11
kujawsko-pomorskie,mogileński,-,-,10,-,-,2.2,0,0,0,21,8,226,80,11,68,1,t0409,2022-01-11
kujawsko-pomorskie,nakielski,-,-,11,-,-,1.28,0,0,0,42,16,355,128,13,115,0,t0410,2022-01-11
kujawsko-pomorskie,radziejowski,-,-,6,-,-,1.49,2,0,2,17,5,103,75,6,69,0,t0411,2022-01-11
kujawsko-pomorskie,rypiński,-,-,7,-,-,1.61,1,0,1,36,0,108,90,8,82,0,t0412,2022-01-11
kujawsko-pomorskie,sępoleński,-,-,5,-,-,1.22,0,0,0,11,6,137,73,5,68,0,t0413,2022-01-11
kujawsko-pomorskie,świecki,-,-,26,-,-,2.63,0,0,0,36,10,311,162,30,129,3,t0414,2022-01-11
kujawsko-pomorskie,toruński,-,-,58,-,-,5.32,0,0,0,73,16,465,275,61,211,3,t0415,2022-01-11
kujawsko-pomorskie,tucholski,-,-,10,-,-,2.07,1,0,1,29,9,203,82,13,69,0,t0416,2022-01-11
kujawsko-pomorskie,wąbrzeski,-,-,15,-,-,4.4,1,1,0,21,2,111,75,18,56,1,t0417,2022-01-11
kujawsko-pomorskie,włocławski,-,-,17,-,-,1.98,0,0,0,24,11,277,142,19,122,1,t0418,2022-01-11
kujawsko-pomorskie,żniński,-,-,13,-,-,1.86,1,0,1,41,8,219,156,14,140,2,t0419,2022-01-11
kujawsko-pomorskie,Bydgoszcz,-,-,115,-,-,3.32,13,1,12,208,61,1427,867,135,723,9,t0461,2022-01-11
kujawsko-pomorskie,Grudziądz,-,-,24,-,-,2.55,2,2,0,63,10,354,212,27,174,11,t0462,2022-01-11
kujawsko-pomorskie,Toruń,-,-,77,-,-,3.83,6,1,5,145,39,767,551,94,448,9,t0463,2022-01-11
kujawsko-pomorskie,Włocławek,-,-,15,-,-,1.37,1,0,1,42,11,246,180,17,161,2,t0464,2022-01-11
lubelskie,bialski,-,-,16,-,-,1.45,2,0,2,39,4,305,226,20,206,0,t0601,2022-01-11
lubelskie,biłgorajski,-,-,24,-,-,2.39,0,0,0,41,0,304,210,26,184,0,t0602,2022-01-11
lubelskie,chełmski,-,-,30,-,-,3.86,3,0,3,37,4,243,137,35,102,0,t0603,2022-01-11
lubelskie,hrubieszowski,-,-,18,-,-,2.88,0,0,0,39,5,186,126,22,103,1,t0604,2022-01-11
lubelskie,janowski,-,-,18,-,-,3.96,0,0,0,23,2,149,129,21,107,1,t0605,2022-01-11
lubelskie,krasnostawski,-,-,15,-,-,2.38,0,0,0,21,2,218,162,16,145,1,t0606,2022-01-11
lubelskie,kraśnicki,-,-,18,-,-,1.89,0,0,0,32,8,195,223,20,202,1,t0607,2022-01-11
lubelskie,lubartowski,-,-,15,-,-,1.7,5,5,0,37,3,252,165,16,148,1,t0608,2022-01-11
lubelskie,lubelski,-,-,74,-,-,4.74,1,0,1,134,22,737,471,81,386,4,t0609,2022-01-11
lubelskie,łęczyński,-,-,23,-,-,4.01,0,0,0,36,9,154,125,25,99,1,t0610,2022-01-11
lubelskie,łukowski,-,-,24,-,-,2.25,0,0,0,33,9,364,166,25,140,1,t0611,2022-01-11
lubelskie,opolski,-,-,16,-,-,2.71,0,0,0,15,2,124,97,17,79,1,t0612,2022-01-11
lubelskie,parczewski,-,-,19,-,-,5.49,0,0,0,10,1,116,95,20,75,0,t0613,2022-01-11
lubelskie,puławski,-,-,41,-,-,3.63,1,1,0,81,18,509,299,46,253,0,t0614,2022-01-11
lubelskie,radzyński,-,-,2,-,-,0.34,0,0,0,16,0,119,106,4,102,0,t0615,2022-01-11
lubelskie,rycki,-,-,18,-,-,3.22,0,0,0,51,2,251,132,19,113,0,t0616,2022-01-11
lubelskie,świdnicki,-,-,44,-,-,6.13,0,0,0,70,7,304,234,49,184,1,t0617,2022-01-11
lubelskie,tomaszowski,-,-,26,-,-,3.16,3,1,2,33,7,273,132,27,103,2,t0618,2022-01-11
lubelskie,włodawski,-,-,1,-,-,0.26,0,0,0,16,7,88,71,3,66,2,t0619,2022-01-11
lubelskie,zamojski,-,-,47,-,-,4.44,5,0,5,67,7,345,263,50,213,0,t0620,2022-01-11
lubelskie,Biała Podlaska,-,-,19,-,-,3.32,0,0,0,34,4,175,184,22,160,2,t0661,2022-01-11
lubelskie,Chełm,-,-,26,-,-,4.22,0,0,0,41,10,202,137,27,109,1,t0662,2022-01-11
lubelskie,Lublin,-,-,223,-,-,6.57,1,0,1,309,68,1629,1223,250,968,5,t0663,2022-01-11
lubelskie,Zamość,-,-,16,-,-,2.53,2,0,2,30,6,188,164,19,145,0,t0664,2022-01-11
lubuskie,gorzowski,-,-,18,-,-,2.5,0,0,0,31,18,377,135,20,110,5,t0801,2022-01-11
lubuskie,krośnieński,-,-,16,-,-,2.92,0,0,0,28,3,261,101,18,83,0,t0802,2022-01-11
lubuskie,międzyrzecki,-,-,11,-,-,1.92,2,2,0,36,13,251,115,12,98,5,t0803,2022-01-11
lubuskie,nowosolski,-,-,18,-,-,2.09,1,1,0,48,11,340,194,23,171,0,t0804,2022-01-11
lubuskie,słubicki,-,-,19,-,-,4.05,2,1,1,30,16,348,127,22,104,1,t0805,2022-01-11
lubuskie,strzelecko-drezdenecki,-,-,18,-,-,3.68,0,0,0,14,3,241,116,20,94,2,t0806,2022-01-11
lubuskie,sulęciński,-,-,8,-,-,2.28,3,3,0,14,9,300,49,10,38,1,t0807,2022-01-11
lubuskie,świebodziński,-,-,9,-,-,1.62,0,0,0,34,12,331,107,12,94,1,t0808,2022-01-11
lubuskie,zielonogórski,-,-,28,-,-,3.7,0,0,0,27,11,363,183,28,152,3,t0809,2022-01-11
lubuskie,żagański,-,-,22,-,-,2.8,2,1,1,42,7,332,254,24,214,16,t0810,2022-01-11
lubuskie,żarski,-,-,32,-,-,3.34,0,0,0,51,14,392,209,34,166,9,t0811,2022-01-11
lubuskie,wschowski,-,-,2,-,-,0.52,0,0,0,14,3,79,44,2,41,1,t0812,2022-01-11
lubuskie,Gorzów Wielkopolski,-,-,40,-,-,3.24,1,1,0,59,16,425,276,49,223,4,t0861,2022-01-11
lubuskie,Zielona Góra,-,-,52,-,-,3.68,0,0,0,80,17,646,363,54,306,3,t0862,2022-01-11
łódzkie,bełchatowski,-,-,45,-,-,3.99,0,0,0,78,19,559,281,57,224,0,t1001,2022-01-11
łódzkie,kutnowski,-,-,26,-,-,2.7,1,1,0,38,11,351,231,32,197,2,t1002,2022-01-11
łódzkie,łaski,-,-,20,-,-,4.02,2,0,2,20,6,165,103,23,80,0,t1003,2022-01-11
łódzkie,łęczycki,-,-,12,-,-,2.42,1,0,1,17,4,165,165,14,150,1,t1004,2022-01-11
łódzkie,łowicki,-,-,30,-,-,3.85,2,1,1,38,9,323,195,37,158,0,t1005,2022-01-11
łódzkie,łódzki wschodni,-,-,23,-,-,3.18,1,1,0,34,5,322,229,25,198,6,t1006,2022-01-11
łódzkie,opoczyński,-,-,2,-,-,0.26,0,0,0,18,3,185,115,3,107,5,t1007,2022-01-11
łódzkie,pabianicki,-,-,59,-,-,4.95,5,0,5,89,17,562,367,67,297,3,t1008,2022-01-11
łódzkie,pajęczański,-,-,16,-,-,3.13,1,0,1,22,8,230,109,29,80,0,t1009,2022-01-11
łódzkie,piotrkowski,-,-,20,-,-,2.19,2,0,2,35,4,322,256,22,234,0,t1010,2022-01-11
łódzkie,poddębicki,-,-,3,-,-,0.73,2,0,2,11,1,104,82,3,79,0,t1011,2022-01-11
łódzkie,radomszczański,-,-,21,-,-,1.87,9,0,9,35,10,380,222,28,191,3,t1012,2022-01-11
łódzkie,rawski,-,-,10,-,-,2.06,2,2,0,29,3,219,69,11,58,0,t1013,2022-01-11
łódzkie,sieradzki,-,-,35,-,-,2.98,3,0,3,57,24,372,259,46,209,4,t1014,2022-01-11
łódzkie,skierniewicki,-,-,15,-,-,3.93,0,0,0,21,2,119,69,17,52,0,t1015,2022-01-11
łódzkie,tomaszowski,-,-,15,-,-,1.29,5,1,4,41,16,412,238,16,220,2,t1016,2022-01-11
łódzkie,wieluński,-,-,22,-,-,2.89,0,0,0,27,7,323,176,46,119,11,t1017,2022-01-11
łódzkie,wieruszowski,-,-,8,-,-,1.9,0,0,0,21,3,142,60,10,50,0,t1018,2022-01-11
łódzkie,zduńskowolski,-,-,19,-,-,2.87,1,0,1,42,15,306,176,24,152,0,t1019,2022-01-11
łódzkie,zgierski,-,-,52,-,-,3.13,6,1,5,78,33,614,495,60,430,5,t1020,2022-01-11
łódzkie,brzeziński,-,-,11,-,-,3.57,0,0,0,14,3,129,71,15,55,1,t1021,2022-01-11
łódzkie,Łódź,-,-,261,-,-,3.85,23,20,3,436,168,3238,2327,307,1992,28,t1061,2022-01-11
łódzkie,Piotrków Trybunalski,-,-,11,-,-,1.51,0,0,0,28,6,193,224,13,210,1,t1062,2022-01-11
łódzkie,Skierniewice,-,-,22,-,-,4.59,0,0,0,45,7,155,119,26,92,1,t1063,2022-01-11
małopolskie,bocheński,-,-,87,-,-,8.13,0,0,0,91,21,699,295,100,188,7,t1201,2022-01-11
małopolskie,brzeski,-,-,50,-,-,5.37,0,0,0,55,15,519,202,55,146,1,t1202,2022-01-11
małopolskie,chrzanowski,-,-,51,-,-,4.11,0,0,0,78,28,677,286,54,226,6,t1203,2022-01-11
małopolskie,dąbrowski,-,-,12,-,-,2.03,4,2,2,18,10,267,48,12,36,0,t1204,2022-01-11
małopolskie,gorlicki,-,-,44,-,-,4.04,1,1,0,47,14,486,213,51,157,5,t1205,2022-01-11
małopolskie,krakowski,-,-,218,-,-,7.77,7,1,6,222,112,2373,927,270,625,32,t1206,2022-01-11
małopolskie,limanowski,-,-,46,-,-,3.48,2,1,1,83,10,599,282,60,216,6,t1207,2022-01-11
małopolskie,miechowski,-,-,36,-,-,7.39,0,0,0,40,14,201,109,44,62,3,t1208,2022-01-11
małopolskie,myślenicki,-,-,66,-,-,5.16,0,0,0,74,29,774,253,75,169,9,t1209,2022-01-11
małopolskie,nowosądecki,-,-,82,-,-,3.78,2,2,0,102,21,979,450,99,341,10,t1210,2022-01-11
małopolskie,nowotarski,-,-,75,-,-,3.91,12,0,12,94,14,541,420,88,321,11,t1211,2022-01-11
małopolskie,olkuski,-,-,42,-,-,3.79,3,0,3,90,25,554,204,53,146,5,t1212,2022-01-11
małopolskie,oświęcimski,-,-,53,-,-,3.46,6,0,6,92,28,755,271,63,203,5,t1213,2022-01-11
małopolskie,proszowicki,-,-,22,-,-,5.1,1,0,1,23,11,255,74,24,50,0,t1214,2022-01-11
małopolskie,suski,-,-,8,-,-,0.95,2,0,2,52,28,404,153,10,138,5,t1215,2022-01-11
małopolskie,tarnowski,-,-,77,-,-,3.82,2,1,1,107,18,928,370,87,279,4,t1216,2022-01-11
małopolskie,tatrzański,-,-,38,-,-,5.58,1,0,1,38,6,299,159,44,113,2,t1217,2022-01-11
małopolskie,wadowicki,-,-,84,-,-,5.25,1,0,1,98,28,883,330,98,226,6,t1218,2022-01-11
małopolskie,wielicki,-,-,84,-,-,6.46,2,2,0,122,62,1054,321,91,228,2,t1219,2022-01-11
małopolskie,Kraków,-,-,913,-,-,11.69,19,3,16,801,464,7243,3208,1050,2110,48,t1261,2022-01-11
małopolskie,Nowy Sącz,-,-,37,-,-,4.42,0,0,0,41,15,385,203,40,159,4,t1262,2022-01-11
małopolskie,Tarnów,-,-,47,-,-,4.34,0,0,0,86,22,402,238,58,179,1,t1263,2022-01-11
mazowieckie,białobrzeski,-,-,5,-,-,1.5,0,0,0,14,5,136,58,6,48,4,t1401,2022-01-11
mazowieckie,ciechanowski,-,-,35,-,-,3.92,0,0,0,58,14,366,203,38,165,0,t1402,2022-01-11
mazowieckie,garwoliński,-,-,23,-,-,2.11,1,1,0,44,14,399,275,25,248,2,t1403,2022-01-11
mazowieckie,gostyniński,-,-,7,-,-,1.56,0,0,0,26,4,160,65,8,57,0,t1404,2022-01-11
mazowieckie,grodziski,-,-,69,-,-,7.14,0,0,0,71,19,731,329,76,246,7,t1405,2022-01-11
mazowieckie,grójecki,-,-,21,-,-,2.14,1,0,1,35,17,678,209,25,175,9,t1406,2022-01-11
mazowieckie,kozienicki,-,-,16,-,-,2.68,0,0,0,31,10,217,149,19,130,0,t1407,2022-01-11
mazowieckie,legionowski,-,-,96,-,-,8.05,2,2,0,105,49,902,410,108,299,3,t1408,2022-01-11
mazowieckie,lipski,-,-,1,-,-,0.3,0,0,0,13,0,75,50,1,49,0,t1409,2022-01-11
mazowieckie,łosicki,-,-,1,-,-,0.33,0,0,0,5,0,53,48,2,46,0,t1410,2022-01-11
mazowieckie,makowski,-,-,8,-,-,1.79,3,2,1,13,1,108,71,9,61,1,t1411,2022-01-11
mazowieckie,miński,-,-,62,-,-,4.0,0,0,0,90,30,996,392,72,305,15,t1412,2022-01-11
mazowieckie,mławski,-,-,16,-,-,2.21,1,0,1,25,10,377,174,17,155,2,t1413,2022-01-11
mazowieckie,nowodworski,-,-,27,-,-,3.4,0,0,0,40,18,414,174,29,145,0,t1414,2022-01-11
mazowieckie,ostrołęcki,-,-,12,-,-,1.35,0,0,0,28,3,234,94,12,80,2,t1415,2022-01-11
mazowieckie,ostrowski,-,-,11,-,-,1.53,0,0,0,15,2,123,110,13,96,1,t1416,2022-01-11
mazowieckie,otwocki,-,-,61,-,-,4.9,1,1,0,103,35,788,390,70,315,5,t1417,2022-01-11
mazowieckie,piaseczyński,-,-,101,-,-,5.33,1,0,1,102,56,1543,680,118,548,14,t1418,2022-01-11
mazowieckie,płocki,-,-,36,-,-,3.25,0,0,0,64,8,424,219,39,177,3,t1419,2022-01-11
mazowieckie,płoński,-,-,24,-,-,2.76,1,0,1,46,11,315,186,28,156,2,t1420,2022-01-11
mazowieckie,pruszkowski,-,-,107,-,-,6.43,5,5,0,123,43,1402,658,131,526,1,t1421,2022-01-11
mazowieckie,przasnyski,-,-,12,-,-,2.29,1,0,1,25,6,142,105,13,92,0,t1422,2022-01-11
mazowieckie,przysuski,-,-,7,-,-,1.69,0,0,0,5,0,97,66,7,59,0,t1423,2022-01-11
mazowieckie,pułtuski,-,-,10,-,-,1.93,2,0,2,28,6,189,90,15,75,0,t1424,2022-01-11
mazowieckie,radomski,-,-,44,-,-,2.89,2,2,0,56,20,491,294,54,238,2,t1425,2022-01-11
mazowieckie,siedlecki,-,-,24,-,-,2.95,1,0,1,24,3,299,109,27,81,1,t1426,2022-01-11
mazowieckie,sierpecki,-,-,13,-,-,2.51,0,0,0,45,5,185,105,14,89,2,t1427,2022-01-11
mazowieckie,sochaczewski,-,-,57,-,-,6.71,2,0,2,96,7,559,446,64,380,2,t1428,2022-01-11
mazowieckie,sokołowski,-,-,6,-,-,1.12,0,0,0,14,7,138,70,9,59,2,t1429,2022-01-11
mazowieckie,szydłowiecki,-,-,2,-,-,0.51,0,0,0,15,3,105,61,2,55,4,t1430,2022-01-11
mazowieckie,warszawski zachodni,-,-,57,-,-,4.77,0,0,0,80,25,921,417,70,342,5,t1432,2022-01-11
mazowieckie,węgrowski,-,-,16,-,-,2.44,0,0,0,26,7,178,98,16,80,2,t1433,2022-01-11
mazowieckie,wołomiński,-,-,126,-,-,5.01,2,0,2,161,52,1587,744,150,576,18,t1434,2022-01-11
mazowieckie,wyszkowski,-,-,11,-,-,1.48,6,0,6,53,8,363,128,13,110,5,t1435,2022-01-11
mazowieckie,zwoleński,-,-,10,-,-,2.78,0,0,0,16,1,130,95,13,77,5,t1436,2022-01-11
mazowieckie,żuromiński,-,-,10,-,-,2.61,0,0,0,16,7,244,121,11,108,2,t1437,2022-01-11
mazowieckie,żyrardowski,-,-,23,-,-,3.04,0,0,0,33,17,377,154,28,125,1,t1438,2022-01-11
mazowieckie,Ostrołęka,-,-,11,-,-,2.12,0,0,0,21,8,93,63,12,51,0,t1461,2022-01-11
mazowieckie,Płock,-,-,35,-,-,2.94,1,0,1,74,25,453,277,42,228,7,t1462,2022-01-11
mazowieckie,Radom,-,-,81,-,-,3.85,1,1,0,93,22,657,515,96,417,2,t1463,2022-01-11
mazowieckie,Siedlce,-,-,22,-,-,2.81,4,0,4,47,14,194,132,22,110,0,t1464,2022-01-11
mazowieckie,Warszawa,-,-,1495,-,-,8.34,23,1,22,1098,561,13723,7757,1746,5845,166,t1465,2022-01-11
opolskie,brzeski,-,-,38,-,-,4.24,3,0,3,30,21,467,150,39,110,1,t1601,2022-01-11
opolskie,głubczycki,-,-,18,-,-,3.97,3,1,2,33,10,153,96,20,76,0,t1602,2022-01-11
opolskie,kędzierzyńsko-kozielski,-,-,42,-,-,4.49,9,3,6,81,27,673,181,52,125,4,t1603,2022-01-11
opolskie,kluczborski,-,-,13,-,-,1.99,1,0,1,30,18,230,110,16,94,0,t1604,2022-01-11
opolskie,krapkowicki,-,-,9,-,-,1.42,1,0,1,42,8,294,106,12,94,0,t1605,2022-01-11
opolskie,namysłowski,-,-,15,-,-,3.51,4,2,2,7,4,209,74,16,58,0,t1606,2022-01-11
opolskie,nyski,-,-,68,-,-,5.02,1,0,1,61,27,568,365,75,286,4,t1607,2022-01-11
opolskie,oleski,-,-,19,-,-,2.96,0,0,0,29,14,273,113,21,91,1,t1608,2022-01-11
opolskie,opolski,-,-,70,-,-,5.65,1,0,1,71,41,667,285,78,201,6,t1609,2022-01-11
opolskie,prudnicki,-,-,1,-,-,0.18,2,1,1,24,12,191,86,2,82,2,t1610,2022-01-11
opolskie,strzelecki,-,-,35,-,-,4.72,1,0,1,77,4,513,208,44,160,4,t1611,2022-01-11
opolskie,Opole,-,-,113,-,-,8.83,5,1,4,119,60,1100,485,130,348,7,t1661,2022-01-11
podkarpackie,bieszczadzki,-,-,3,-,-,1.39,3,1,2,11,6,60,67,6,60,1,t1801,2022-01-11
podkarpackie,brzozowski,-,-,16,-,-,2.44,0,0,0,22,8,236,136,16,117,3,t1802,2022-01-11
podkarpackie,dębicki,-,-,76,-,-,5.62,5,1,4,68,17,662,292,85,207,0,t1803,2022-01-11
podkarpackie,jarosławski,-,-,29,-,-,2.41,0,0,0,75,10,485,247,35,210,2,t1804,2022-01-11
podkarpackie,jasielski,-,-,67,-,-,5.92,0,0,0,67,16,535,342,76,260,6,t1805,2022-01-11
podkarpackie,kolbuszowski,-,-,15,-,-,2.41,0,0,0,27,10,278,137,18,119,0,t1806,2022-01-11
podkarpackie,krośnieński,-,-,34,-,-,3.03,2,0,2,49,14,350,214,44,169,1,t1807,2022-01-11
podkarpackie,leżajski,-,-,41,-,-,5.92,1,0,1,61,12,422,215,48,167,0,t1808,2022-01-11
podkarpackie,lubaczowski,-,-,9,-,-,1.64,0,0,0,45,3,213,153,12,141,0,t1809,2022-01-11
podkarpackie,łańcucki,-,-,28,-,-,3.45,2,0,2,63,21,435,213,32,180,1,t1810,2022-01-11
podkarpackie,mielecki,-,-,53,-,-,3.88,17,0,17,74,15,621,301,59,242,0,t1811,2022-01-11
podkarpackie,niżański,-,-,36,-,-,5.42,3,1,2,34,10,307,149,40,109,0,t1812,2022-01-11
podkarpackie,przemyski,-,-,29,-,-,3.92,3,0,3,22,6,262,172,34,138,0,t1813,2022-01-11
podkarpackie,przeworski,-,-,19,-,-,2.43,0,0,0,32,8,374,159,21,138,0,t1814,2022-01-11
podkarpackie,ropczycko-sędziszowski,-,-,22,-,-,2.95,1,0,1,28,8,284,133,25,108,0,t1815,2022-01-11
podkarpackie,rzeszowski,-,-,105,-,-,6.18,2,0,2,133,36,821,439,115,324,0,t1816,2022-01-11
podkarpackie,sanocki,-,-,51,-,-,5.42,0,0,0,55,15,540,253,54,197,2,t1817,2022-01-11
podkarpackie,stalowowolski,-,-,35,-,-,3.31,2,0,2,48,4,299,225,36,189,0,t1818,2022-01-11
podkarpackie,strzyżowski,-,-,20,-,-,3.26,0,0,0,31,6,232,128,22,106,0,t1819,2022-01-11
podkarpackie,tarnobrzeski,-,-,17,-,-,3.22,0,0,0,28,3,194,100,19,81,0,t1820,2022-01-11
podkarpackie,leski,-,-,18,-,-,6.81,0,0,0,20,1,147,71,19,50,2,t1821,2022-01-11
podkarpackie,Krosno,-,-,14,-,-,3.03,1,0,1,26,12,128,92,16,76,0,t1861,2022-01-11
podkarpackie,Przemyśl,-,-,29,-,-,4.8,6,2,4,30,11,264,201,35,163,3,t1862,2022-01-11
podkarpackie,Rzeszów,-,-,139,-,-,7.06,0,0,0,191,39,991,658,173,484,1,t1863,2022-01-11
podkarpackie,Tarnobrzeg,-,-,13,-,-,2.79,0,0,0,28,11,134,126,14,112,0,t1864,2022-01-11
podlaskie,augustowski,-,-,12,-,-,2.07,0,0,0,29,2,115,83,13,68,2,t2001,2022-01-11
podlaskie,białostocki,-,-,44,-,-,2.93,2,0,2,92,19,417,373,49,322,2,t2002,2022-01-11
podlaskie,bielski,-,-,25,-,-,4.62,0,0,0,28,7,125,116,27,88,1,t2003,2022-01-11
podlaskie,grajewski,-,-,8,-,-,1.7,1,0,1,11,2,97,62,8,54,0,t2004,2022-01-11
podlaskie,hajnowski,-,-,6,-,-,1.42,1,0,1,21,2,93,82,6,75,1,t2005,2022-01-11
podlaskie,kolneński,-,-,7,-,-,1.84,1,0,1,6,4,85,58,7,51,0,t2006,2022-01-11
podlaskie,łomżyński,-,-,10,-,-,1.96,1,0,1,18,3,160,65,11,54,0,t2007,2022-01-11
podlaskie,moniecki,-,-,5,-,-,1.24,1,0,1,8,5,95,55,7,48,0,t2008,2022-01-11
podlaskie,sejneński,-,-,3,-,-,1.51,0,0,0,5,4,59,11,3,8,0,t2009,2022-01-11
podlaskie,siemiatycki,-,-,6,-,-,1.37,2,0,2,6,2,68,58,7,50,1,t2010,2022-01-11
podlaskie,sokólski,-,-,7,-,-,1.06,2,0,2,16,3,134,87,9,77,1,t2011,2022-01-11
podlaskie,suwalski,-,-,1,-,-,0.28,0,0,0,7,5,80,49,2,45,2,t2012,2022-01-11
