wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,256,28,284,0.07,0.01,0.07,6,2,4,489,48,0,8469,317,8133,19,t0000,2022-05-24
dolnośląskie,bolesławiecki,1,0,1,0.11,0.0,0.11,0,0,0,3,0,0,11,1,10,0,t0201,2022-05-24
dolnośląskie,dzierżoniowski,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,21,0,21,0,t0202,2022-05-24
dolnośląskie,głogowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,9,0,t0203,2022-05-24
dolnośląskie,górowski,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,3,0,3,0,t0204,2022-05-24
dolnośląskie,jaworski,1,0,1,0.2,0.0,0.2,0,0,0,0,0,0,3,1,2,0,t0205,2022-05-24
dolnośląskie,jeleniogórski,1,0,1,0.16,0.0,0.16,0,0,0,0,0,0,7,1,6,0,t0206,2022-05-24
dolnośląskie,kamiennogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0207,2022-05-24
dolnośląskie,kłodzki,1,0,1,0.06,0.0,0.06,0,0,0,0,0,0,13,1,12,0,t0208,2022-05-24
dolnośląskie,legnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,8,0,t0209,2022-05-24
dolnośląskie,lubański,0,1,1,0.0,0.18,0.18,0,0,0,0,0,0,3,1,2,0,t0210,2022-05-24
dolnośląskie,lubiński,2,0,2,0.19,0.0,0.19,0,0,0,2,0,0,15,2,13,0,t0211,2022-05-24
dolnośląskie,lwówecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,7,0,t0212,2022-05-24
dolnośląskie,milicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0213,2022-05-24
dolnośląskie,oleśnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,10,0,t0214,2022-05-24
dolnośląskie,oławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,5,0,t0215,2022-05-24
dolnośląskie,polkowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,8,0,t0216,2022-05-24
dolnośląskie,strzeliński,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,8,0,8,0,t0217,2022-05-24
dolnośląskie,średzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0218,2022-05-24
dolnośląskie,świdnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,18,0,18,0,t0219,2022-05-24
dolnośląskie,trzebnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,15,0,15,0,t0220,2022-05-24
dolnośląskie,wałbrzyski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,t0221,2022-05-24
dolnośląskie,wołowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0222,2022-05-24
dolnośląskie,wrocławski,2,2,4,0.13,0.13,0.26,0,0,0,3,0,0,39,4,34,1,t0223,2022-05-24
dolnośląskie,ząbkowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0224,2022-05-24
dolnośląskie,zgorzelecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0225,2022-05-24
