wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,940,101,1041,0.25,0.03,0.27,21,8,13,1421,74,0,15087,1181,13883,23,t0000,2022-04-26
dolnośląskie,bolesławiecki,2,0,2,0.22,0.0,0.22,0,0,0,4,0,0,20,3,17,0,t0201,2022-04-26
dolnośląskie,dzierżoniowski,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,28,0,28,0,t0202,2022-04-26
dolnośląskie,głogowski,1,0,1,0.11,0.0,0.11,0,0,0,0,0,0,12,1,11,0,t0203,2022-04-26
dolnośląskie,górowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t0204,2022-04-26
dolnośląskie,jaworski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,24,0,24,0,t0205,2022-04-26
dolnośląskie,jeleniogórski,1,1,2,0.16,0.16,0.32,0,0,0,6,0,0,18,2,16,0,t0206,2022-04-26
dolnośląskie,kamiennogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0207,2022-04-26
dolnośląskie,kłodzki,3,1,4,0.19,0.06,0.25,0,0,0,5,0,0,28,4,24,0,t0208,2022-04-26
dolnośląskie,legnicki,0,1,1,0.0,0.18,0.18,0,0,0,1,0,0,21,1,20,0,t0209,2022-04-26
dolnośląskie,lubański,3,0,3,0.55,0.0,0.55,0,0,0,1,0,0,4,3,1,0,t0210,2022-04-26
