wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,221,-,-,0.06,0,0,0,1131,0,0,2920,226,2693,1,t00,2024-12-19
dolnośląskie,-,-,5,-,-,0.02,0,0,0,41,0,0,149,5,144,0,t02,2024-12-19
kujawsko-pomorskie,-,-,21,-,-,0.1,0,0,0,94,0,0,153,21,132,0,t04,2024-12-19
lubelskie,-,-,21,-,-,0.1,0,0,0,54,0,0,128,21,106,1,t06,2024-12-19
lubuskie,-,-,0,-,-,0.0,0,0,0,13,0,0,42,0,42,0,t08,2024-12-19
łódzkie,-,-,8,-,-,0.03,0,0,0,46,0,0,90,8,82,0,t10,2024-12-19
małopolskie,-,-,22,-,-,0.06,0,0,0,109,0,0,331,23,308,0,t12,2024-12-19
mazowieckie,-,-,27,-,-,0.05,0,0,0,167,0,0,689,27,662,0,t14,2024-12-19
opolskie,-,-,11,-,-,0.11,0,0,0,12,0,0,101,11,90,0,t16,2024-12-19
podkarpackie,-,-,16,-,-,0.08,0,0,0,235,0,0,354,17,337,0,t18,2024-12-19
podlaskie,-,-,24,-,-,0.2,0,0,0,117,0,0,171,24,147,0,t20,2024-12-19
pomorskie,-,-,7,-,-,0.03,0,0,0,15,0,0,114,7,107,0,t22,2024-12-19
śląskie,-,-,23,-,-,0.05,0,0,0,115,0,0,283,23,260,0,t24,2024-12-19
świętokrzyskie,-,-,6,-,-,0.05,0,0,0,13,0,0,45,6,39,0,t26,2024-12-19
warmińsko-mazurskie,-,-,5,-,-,0.04,0,0,0,29,0,0,43,5,38,0,t28,2024-12-19
wielkopolskie,-,-,12,-,-,0.03,0,0,0,30,0,0,77,12,65,0,t30,2024-12-19
zachodniopomorskie,-,-,12,-,-,0.07,0,0,0,39,0,0,67,13,54,0,t32,2024-12-19
