wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,839,-,-,0.22,4,0,4,1022,0,0,4964,936,4020,8,t00,2023-04-07
dolnośląskie,-,-,50,-,-,0.17,0,0,0,60,0,0,281,54,227,0,t02,2023-04-07
kujawsko-pomorskie,-,-,35,-,-,0.17,0,0,0,79,0,0,263,40,222,1,t04,2023-04-07
lubelskie,-,-,73,-,-,0.35,0,0,0,66,0,0,366,79,285,2,t06,2023-04-07
lubuskie,-,-,19,-,-,0.19,0,0,0,14,0,0,79,20,59,0,t08,2023-04-07
łódzkie,-,-,45,-,-,0.18,2,0,2,66,0,0,287,50,237,0,t10,2023-04-07
małopolskie,-,-,60,-,-,0.18,0,0,0,85,0,0,275,61,214,0,t12,2023-04-07
mazowieckie,-,-,148,-,-,0.27,0,0,0,159,0,0,841,160,681,0,t14,2023-04-07
opolskie,-,-,21,-,-,0.21,0,0,0,9,0,0,160,23,137,0,t16,2023-04-07
podkarpackie,-,-,33,-,-,0.16,0,0,0,68,0,0,212,36,176,0,t18,2023-04-07
podlaskie,-,-,46,-,-,0.39,0,0,0,86,0,0,213,49,164,0,t20,2023-04-07
pomorskie,-,-,48,-,-,0.2,0,0,0,47,0,0,318,57,261,0,t22,2023-04-07
śląskie,-,-,79,-,-,0.18,0,0,0,111,0,0,565,87,476,2,t24,2023-04-07
świętokrzyskie,-,-,31,-,-,0.25,0,0,0,15,0,0,135,39,96,0,t26,2023-04-07
warmińsko-mazurskie,-,-,36,-,-,0.25,1,0,1,34,0,0,194,48,146,0,t28,2023-04-07
wielkopolskie,-,-,48,-,-,0.14,1,0,1,32,0,0,200,52,147,1,t30,2023-04-07
zachodniopomorskie,-,-,55,-,-,0.32,0,0,0,88,0,0,314,60,254,0,t32,2023-04-07
