wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,2992,-,-,0.78,14,6,8,2399,0,0,9028,3229,5784,15,t00,2023-02-28
dolnośląskie,-,-,101,-,-,0.35,1,1,0,71,0,0,332,104,227,1,t02,2023-02-28
kujawsko-pomorskie,-,-,218,-,-,1.05,1,0,1,198,0,0,601,229,370,2,t04,2023-02-28
lubelskie,-,-,272,-,-,1.29,1,0,1,152,0,0,800,288,512,0,t06,2023-02-28
lubuskie,-,-,92,-,-,0.91,0,0,0,82,0,0,214,97,117,0,t08,2023-02-28
łódzkie,-,-,176,-,-,0.72,2,0,2,197,0,0,502,193,309,0,t10,2023-02-28
małopolskie,-,-,258,-,-,0.76,0,0,0,260,0,0,667,269,398,0,t12,2023-02-28
mazowieckie,-,-,364,-,-,0.67,2,1,1,232,0,0,1265,384,881,0,t14,2023-02-28
opolskie,-,-,60,-,-,0.61,0,0,0,27,0,0,278,66,210,2,t16,2023-02-28
podkarpackie,-,-,171,-,-,0.8,0,0,0,112,0,0,459,187,270,2,t18,2023-02-28
podlaskie,-,-,97,-,-,0.82,0,0,0,98,0,0,349,109,240,0,t20,2023-02-28
pomorskie,-,-,149,-,-,0.63,0,0,0,165,0,0,543,163,378,2,t22,2023-02-28
śląskie,-,-,502,-,-,1.11,5,4,1,406,0,0,1217,545,668,4,t24,2023-02-28
świętokrzyskie,-,-,65,-,-,0.53,0,0,0,34,0,0,206,73,133,0,t26,2023-02-28
warmińsko-mazurskie,-,-,127,-,-,0.89,0,0,0,139,0,0,498,160,338,0,t28,2023-02-28
wielkopolskie,-,-,218,-,-,0.62,2,0,2,154,0,0,496,230,265,1,t30,2023-02-28
zachodniopomorskie,-,-,66,-,-,0.39,0,0,0,72,0,0,284,71,212,1,t32,2023-02-28
