wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,47,-,-,0.01,0,0,0,1,0,0,901,57,841,3,t00,2024-01-28
dolnośląskie,-,-,1,-,-,0.0,0,0,0,0,0,0,8,1,7,0,t02,2024-01-28
kujawsko-pomorskie,-,-,1,-,-,0.0,0,0,0,0,0,0,8,1,7,0,t04,2024-01-28
lubelskie,-,-,11,-,-,0.05,0,0,0,0,0,0,96,16,80,0,t06,2024-01-28
lubuskie,-,-,0,-,-,0.0,0,0,0,0,0,0,13,0,13,0,t08,2024-01-28
łódzkie,-,-,0,-,-,0.0,0,0,0,0,0,0,7,0,7,0,t10,2024-01-28
małopolskie,-,-,4,-,-,0.01,0,0,0,1,0,0,39,4,35,0,t12,2024-01-28
mazowieckie,-,-,9,-,-,0.02,0,0,0,0,0,0,373,9,364,0,t14,2024-01-28
opolskie,-,-,0,-,-,0.0,0,0,0,0,0,0,6,0,6,0,t16,2024-01-28
podkarpackie,-,-,4,-,-,0.02,0,0,0,0,0,0,12,5,7,0,t18,2024-01-28
podlaskie,-,-,3,-,-,0.03,0,0,0,0,0,0,62,4,57,1,t20,2024-01-28
pomorskie,-,-,3,-,-,0.01,0,0,0,0,0,0,72,3,69,0,t22,2024-01-28
śląskie,-,-,6,-,-,0.01,0,0,0,0,0,0,59,6,53,0,t24,2024-01-28
świętokrzyskie,-,-,1,-,-,0.01,0,0,0,0,0,0,28,1,26,1,t26,2024-01-28
warmińsko-mazurskie,-,-,0,-,-,0.0,0,0,0,0,0,0,11,0,11,0,t28,2024-01-28
wielkopolskie,-,-,2,-,-,0.01,0,0,0,0,0,0,20,2,18,0,t30,2024-01-28
zachodniopomorskie,-,-,0,-,-,0.0,0,0,0,0,0,0,5,0,4,1,t32,2024-01-28
