wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,43,-,-,0.01,1,0,1,175,0,0,2246,50,2191,5,t00,2023-06-19
dolnośląskie,-,-,6,-,-,0.02,0,0,0,6,0,0,58,6,52,0,t02,2023-06-19
kujawsko-pomorskie,-,-,6,-,-,0.03,0,0,0,14,0,0,90,7,83,0,t04,2023-06-19
lubelskie,-,-,3,-,-,0.01,0,0,0,11,0,0,426,5,421,0,t06,2023-06-19
lubuskie,-,-,2,-,-,0.02,0,0,0,3,0,0,32,2,30,0,t08,2023-06-19
łódzkie,-,-,2,-,-,0.01,0,0,0,10,0,0,54,3,50,1,t10,2023-06-19
małopolskie,-,-,2,-,-,0.01,0,0,0,26,0,0,157,2,153,2,t12,2023-06-19
mazowieckie,-,-,6,-,-,0.01,0,0,0,23,0,0,496,7,489,0,t14,2023-06-19
opolskie,-,-,1,-,-,0.01,0,0,0,0,0,0,176,1,175,0,t16,2023-06-19
podkarpackie,-,-,2,-,-,0.01,0,0,0,8,0,0,103,2,101,0,t18,2023-06-19
podlaskie,-,-,0,-,-,0.0,0,0,0,7,0,0,72,0,72,0,t20,2023-06-19
pomorskie,-,-,3,-,-,0.01,1,0,1,12,0,0,61,3,58,0,t22,2023-06-19
śląskie,-,-,5,-,-,0.01,0,0,0,25,0,0,163,6,155,2,t24,2023-06-19
świętokrzyskie,-,-,0,-,-,0.0,0,0,0,0,0,0,46,1,45,0,t26,2023-06-19
warmińsko-mazurskie,-,-,0,-,-,0.0,0,0,0,7,0,0,86,0,86,0,t28,2023-06-19
wielkopolskie,-,-,2,-,-,0.01,0,0,0,14,0,0,54,2,52,0,t30,2023-06-19
zachodniopomorskie,-,-,1,-,-,0.01,0,0,0,7,0,0,45,1,44,0,t32,2023-06-19
