wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,117,-,-,0.03,0,0,0,8,0,0,694,131,562,1,t00,2023-12-02
dolnośląskie,-,-,3,-,-,0.01,0,0,0,1,0,0,7,5,2,0,t02,2023-12-02
kujawsko-pomorskie,-,-,7,-,-,0.03,0,0,0,0,0,0,10,7,3,0,t04,2023-12-02
lubelskie,-,-,25,-,-,0.12,0,0,0,0,0,0,111,34,77,0,t06,2023-12-02
lubuskie,-,-,0,-,-,0.0,0,0,0,0,0,0,2,0,2,0,t08,2023-12-02
łódzkie,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t10,2023-12-02
małopolskie,-,-,10,-,-,0.03,0,0,0,0,0,0,28,11,17,0,t12,2023-12-02
mazowieckie,-,-,28,-,-,0.05,0,0,0,7,0,0,364,30,333,1,t14,2023-12-02
opolskie,-,-,1,-,-,0.01,0,0,0,0,0,0,3,1,2,0,t16,2023-12-02
podkarpackie,-,-,7,-,-,0.03,0,0,0,0,0,0,9,7,2,0,t18,2023-12-02
podlaskie,-,-,6,-,-,0.05,0,0,0,0,0,0,33,6,27,0,t20,2023-12-02
pomorskie,-,-,5,-,-,0.02,0,0,0,0,0,0,20,5,15,0,t22,2023-12-02
śląskie,-,-,8,-,-,0.02,0,0,0,0,0,0,23,8,15,0,t24,2023-12-02
świętokrzyskie,-,-,4,-,-,0.03,0,0,0,0,0,0,9,4,5,0,t26,2023-12-02
warmińsko-mazurskie,-,-,0,-,-,0.0,0,0,0,0,0,0,1,0,1,0,t28,2023-12-02
wielkopolskie,-,-,8,-,-,0.02,0,0,0,0,0,0,18,8,10,0,t30,2023-12-02
zachodniopomorskie,-,-,0,-,-,0.0,0,0,0,0,0,0,14,0,14,0,t32,2023-12-02
