wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,445,-,-,0.12,7,3,4,624,0,0,4957,507,4442,8,t00,2023-04-21
dolnośląskie,-,-,22,-,-,0.08,1,0,1,28,0,0,209,25,184,0,t02,2023-04-21
kujawsko-pomorskie,-,-,16,-,-,0.08,0,0,0,33,0,0,153,17,136,0,t04,2023-04-21
lubelskie,-,-,35,-,-,0.17,0,0,0,56,0,0,496,38,458,0,t06,2023-04-21
lubuskie,-,-,13,-,-,0.13,0,0,0,8,0,0,79,13,66,0,t08,2023-04-21
łódzkie,-,-,18,-,-,0.07,0,0,0,37,0,0,190,20,170,0,t10,2023-04-21
małopolskie,-,-,57,-,-,0.17,0,0,0,78,0,0,295,60,235,0,t12,2023-04-21
mazowieckie,-,-,69,-,-,0.13,2,1,1,89,0,0,1065,79,986,0,t14,2023-04-21
opolskie,-,-,8,-,-,0.08,0,0,0,9,0,0,175,11,164,0,t16,2023-04-21
podkarpackie,-,-,35,-,-,0.16,0,0,0,52,0,0,208,42,166,0,t18,2023-04-21
podlaskie,-,-,21,-,-,0.18,0,0,0,41,0,0,177,21,155,1,t20,2023-04-21
pomorskie,-,-,13,-,-,0.06,1,1,0,23,0,0,250,14,234,2,t22,2023-04-21
śląskie,-,-,42,-,-,0.09,0,0,0,65,0,0,477,45,430,2,t24,2023-04-21
świętokrzyskie,-,-,12,-,-,0.1,0,0,0,6,0,0,97,16,81,0,t26,2023-04-21
warmińsko-mazurskie,-,-,19,-,-,0.13,1,0,1,25,0,0,336,30,306,0,t28,2023-04-21
wielkopolskie,-,-,22,-,-,0.06,2,1,1,32,0,0,164,23,141,0,t30,2023-04-21
zachodniopomorskie,-,-,33,-,-,0.19,0,0,0,42,0,0,235,36,196,3,t32,2023-04-21
