wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,1343,-,-,0.35,15,5,10,1565,0,0,6755,1475,5262,18,t00,2023-03-31
dolnośląskie,-,-,84,-,-,0.29,2,1,1,73,0,0,366,98,266,2,t02,2023-03-31
kujawsko-pomorskie,-,-,74,-,-,0.36,3,0,3,128,0,0,379,80,298,1,t04,2023-03-31
lubelskie,-,-,120,-,-,0.57,2,0,2,98,0,0,517,128,387,2,t06,2023-03-31
lubuskie,-,-,21,-,-,0.21,0,0,0,25,0,0,99,23,75,1,t08,2023-03-31
łódzkie,-,-,82,-,-,0.33,0,0,0,108,0,0,416,88,328,0,t10,2023-03-31
małopolskie,-,-,112,-,-,0.33,1,0,1,152,0,0,422,117,304,1,t12,2023-03-31
mazowieckie,-,-,233,-,-,0.43,1,1,0,235,0,0,1123,252,870,1,t14,2023-03-31
opolskie,-,-,22,-,-,0.22,0,0,0,20,0,0,207,25,181,1,t16,2023-03-31
podkarpackie,-,-,59,-,-,0.28,1,1,0,128,0,0,379,61,317,1,t18,2023-03-31
podlaskie,-,-,68,-,-,0.58,0,0,0,89,0,0,209,78,130,1,t20,2023-03-31
pomorskie,-,-,105,-,-,0.45,2,1,1,91,0,0,519,117,401,1,t22,2023-03-31
śląskie,-,-,81,-,-,0.18,2,1,1,112,0,0,636,89,546,1,t24,2023-03-31
świętokrzyskie,-,-,49,-,-,0.4,0,0,0,28,0,0,179,59,119,1,t26,2023-03-31
warmińsko-mazurskie,-,-,58,-,-,0.41,0,0,0,73,0,0,307,67,240,0,t28,2023-03-31
wielkopolskie,-,-,74,-,-,0.21,0,0,0,61,0,0,328,80,248,0,t30,2023-03-31
zachodniopomorskie,-,-,87,-,-,0.51,1,0,1,140,0,0,412,93,318,1,t32,2023-03-31
