wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
dolnośląskie,milicki,16,0,16,4.33,0.0,4.33,0,0,0,1,68,352,74,20,52,2,t0213,2022-02-13
dolnośląskie,oleśnicki,33,3,36,3.07,0.28,3.35,0,0,0,0,57,690,174,43,128,3,t0214,2022-02-13
dolnośląskie,oławski,21,4,25,2.73,0.52,3.25,0,0,0,0,86,774,121,29,91,1,t0215,2022-02-13
dolnośląskie,polkowicki,18,0,18,2.85,0.0,2.85,0,0,0,0,71,690,86,19,62,5,t0216,2022-02-13
dolnośląskie,strzeliński,2,2,4,0.46,0.46,0.92,0,0,0,1,44,312,35,8,27,0,t0217,2022-02-13
dolnośląskie,średzki,14,4,18,2.53,0.72,3.25,0,0,0,0,97,553,76,18,57,1,t0218,2022-02-13
dolnośląskie,świdnicki,26,3,29,1.66,0.19,1.85,0,0,0,0,97,1367,137,32,100,5,t0219,2022-02-13
dolnośląskie,trzebnicki,33,3,36,3.86,0.35,4.22,0,0,0,1,115,742,149,37,111,1,t0220,2022-02-13
dolnośląskie,wałbrzyski,12,1,13,2.17,0.18,2.35,0,0,0,0,58,343,59,14,43,2,t0221,2022-02-13
dolnośląskie,wołowski,19,1,20,4.07,0.21,4.28,0,0,0,1,56,371,89,21,65,3,t0222,2022-02-13
dolnośląskie,wrocławski,63,6,69,4.09,0.39,4.48,0,0,0,0,262,1408,345,75,264,6,t0223,2022-02-13
dolnośląskie,ząbkowicki,20,3,23,3.1,0.47,3.57,0,0,0,1,130,437,68,24,44,0,t0224,2022-02-13
dolnośląskie,zgorzelecki,21,3,24,2.37,0.34,2.7,0,0,0,1,51,864,79,27,50,2,t0225,2022-02-13
dolnośląskie,złotoryjski,2,0,2,0.46,0.0,0.46,0,0,0,0,43,363,26,2,24,0,t0226,2022-02-13
dolnośląskie,Jelenia Góra,22,0,22,2.79,0.0,2.79,0,0,0,0,78,427,132,26,105,1,t0261,2022-02-13
dolnośląskie,Legnica,16,2,18,1.61,0.2,1.82,0,0,0,1,82,919,90,18,71,1,t0262,2022-02-13
dolnośląskie,Wrocław,309,31,340,4.8,0.48,5.28,0,0,0,7,1122,4327,1303,365,910,28,t0264,2022-02-13
dolnośląskie,Wałbrzych,27,1,28,2.44,0.09,2.53,0,0,0,0,108,683,129,29,96,4,t0265,2022-02-13
kujawsko-pomorskie,aleksandrowski,17,1,18,3.09,0.18,3.27,2,0,2,0,68,463,81,18,61,2,t0401,2022-02-13
kujawsko-pomorskie,brodnicki,27,3,30,3.41,0.38,3.79,0,0,0,4,73,556,127,31,95,1,t0402,2022-02-13
kujawsko-pomorskie,bydgoski,97,10,107,8.12,0.84,8.96,0,0,0,5,287,1683,323,115,202,6,t0403,2022-02-13
kujawsko-pomorskie,chełmiński,25,4,29,4.82,0.77,5.6,0,0,0,1,67,479,111,35,73,3,t0404,2022-02-13
kujawsko-pomorskie,golubsko-dobrzyński,20,1,21,4.45,0.22,4.67,0,0,0,5,54,277,76,24,51,1,t0405,2022-02-13
kujawsko-pomorskie,grudziądzki,15,1,16,3.73,0.25,3.98,0,0,0,1,44,327,64,17,45,2,t0406,2022-02-13
kujawsko-pomorskie,inowrocławski,46,12,58,2.89,0.75,3.64,0,0,0,1,226,1639,279,103,169,7,t0407,2022-02-13
kujawsko-pomorskie,lipnowski,12,2,14,1.83,0.3,2.13,0,0,0,3,38,463,77,14,61,2,t0408,2022-02-13
kujawsko-pomorskie,mogileński,16,0,16,3.52,0.0,3.52,0,0,0,0,44,373,59,18,40,1,t0409,2022-02-13
kujawsko-pomorskie,nakielski,38,4,42,4.41,0.46,4.87,0,0,0,0,175,1020,138,44,85,9,t0410,2022-02-13
kujawsko-pomorskie,radziejowski,12,1,13,2.98,0.25,3.23,0,0,0,4,56,337,50,14,35,1,t0411,2022-02-13
kujawsko-pomorskie,rypiński,42,3,45,9.68,0.69,10.37,0,0,0,0,58,369,137,48,86,3,t0412,2022-02-13
kujawsko-pomorskie,sępoleński,41,4,45,10.02,0.98,11.0,0,0,0,0,53,335,114,45,65,4,t0413,2022-02-13
kujawsko-pomorskie,świecki,35,3,38,3.54,0.3,3.84,0,0,0,1,126,1064,177,46,128,3,t0414,2022-02-13
kujawsko-pomorskie,toruński,99,18,117,9.09,1.65,10.74,1,0,1,2,176,1144,353,141,206,6,t0415,2022-02-13
kujawsko-pomorskie,tucholski,13,0,13,2.69,0.0,2.69,0,0,0,2,55,344,107,31,71,5,t0416,2022-02-13
kujawsko-pomorskie,wąbrzeski,14,0,14,4.1,0.0,4.1,0,0,0,1,27,266,53,14,38,1,t0417,2022-02-13
kujawsko-pomorskie,włocławski,14,2,16,1.63,0.23,1.86,0,0,0,1,58,648,69,18,50,1,t0418,2022-02-13
kujawsko-pomorskie,żniński,47,12,59,6.71,1.71,8.42,0,0,0,1,137,771,167,64,100,3,t0419,2022-02-13
kujawsko-pomorskie,Bydgoszcz,396,55,451,11.42,1.59,13.01,0,0,0,30,835,3823,1222,485,725,12,t0461,2022-02-13
kujawsko-pomorskie,Grudziądz,49,10,59,5.21,1.06,6.27,0,0,0,3,111,686,204,62,139,3,t0462,2022-02-13
kujawsko-pomorskie,Toruń,183,25,208,9.1,1.24,10.34,0,0,0,4,232,1336,530,220,304,6,t0463,2022-02-13
kujawsko-pomorskie,Włocławek,14,1,15,1.28,0.09,1.37,0,0,0,0,128,580,113,15,97,1,t0464,2022-02-13
lubelskie,bialski,26,2,28,2.35,0.18,2.53,0,0,0,1,102,944,140,29,109,2,t0601,2022-02-13
lubelskie,biłgorajski,14,3,17,1.39,0.3,1.69,0,0,0,3,108,746,111,20,90,1,t0602,2022-02-13
lubelskie,chełmski,15,0,15,1.93,0.0,1.93,0,0,0,1,69,621,78,17,61,0,t0603,2022-02-13
lubelskie,hrubieszowski,2,0,2,0.32,0.0,0.32,0,0,0,0,68,295,39,5,34,0,t0604,2022-02-13
lubelskie,janowski,3,0,3,0.66,0.0,0.66,0,0,0,0,30,259,17,3,14,0,t0605,2022-02-13
lubelskie,krasnostawski,15,3,18,2.38,0.48,2.86,0,0,0,4,58,440,82,19,60,3,t0606,2022-02-13
lubelskie,kraśnicki,13,1,14,1.37,0.11,1.47,0,0,0,0,94,426,98,18,79,1,t0607,2022-02-13
lubelskie,lubartowski,19,4,23,2.16,0.45,2.61,0,0,0,15,143,728,129,28,101,0,t0608,2022-02-13
lubelskie,lubelski,38,10,48,2.44,0.64,3.08,0,0,0,4,260,1466,299,54,240,5,t0609,2022-02-13
lubelskie,łęczyński,8,1,9,1.4,0.17,1.57,0,0,0,0,50,598,71,11,60,0,t0610,2022-02-13
lubelskie,łukowski,27,3,30,2.53,0.28,2.81,0,0,0,1,106,770,122,32,90,0,t0611,2022-02-13
lubelskie,opolski,8,0,8,1.36,0.0,1.36,0,0,0,1,73,453,72,9,63,0,t0612,2022-02-13
lubelskie,parczewski,2,0,2,0.58,0.0,0.58,0,0,0,0,52,311,27,4,22,1,t0613,2022-02-13
lubelskie,puławski,33,2,35,2.92,0.18,3.1,0,0,0,1,174,984,171,38,133,0,t0614,2022-02-13
lubelskie,radzyński,9,1,10,1.54,0.17,1.71,0,0,0,0,106,610,35,10,25,0,t0615,2022-02-13
lubelskie,rycki,10,1,11,1.79,0.18,1.97,0,0,0,4,59,450,62,11,48,3,t0616,2022-02-13
lubelskie,świdnicki,26,3,29,3.62,0.42,4.04,0,0,0,1,99,570,117,32,85,0,t0617,2022-02-13
lubelskie,tomaszowski,9,0,9,1.09,0.0,1.09,0,0,0,0,66,468,61,10,51,0,t0618,2022-02-13
lubelskie,włodawski,13,1,14,3.4,0.26,3.66,0,0,0,2,67,321,59,15,43,1,t0619,2022-02-13
lubelskie,zamojski,11,0,11,1.04,0.0,1.04,0,0,0,0,96,666,76,16,60,0,t0620,2022-02-13
lubelskie,Biała Podlaska,15,1,16,2.62,0.17,2.8,0,0,0,0,104,497,103,16,87,0,t0661,2022-02-13
lubelskie,Chełm,18,1,19,2.92,0.16,3.09,0,0,0,0,85,412,77,19,56,2,t0662,2022-02-13
lubelskie,Lublin,117,13,130,3.45,0.38,3.83,0,0,0,19,629,2124,778,150,624,4,t0663,2022-02-13
lubelskie,Zamość,12,1,13,1.9,0.16,2.06,0,0,0,5,45,294,56,15,41,0,t0664,2022-02-13
lubuskie,gorzowski,52,14,66,7.22,1.94,9.16,0,0,0,0,87,751,189,70,112,7,t0801,2022-02-13
lubuskie,krośnieński,28,1,29,5.12,0.18,5.3,0,0,0,0,66,489,80,30,50,0,t0802,2022-02-13
lubuskie,międzyrzecki,26,6,32,4.53,1.05,5.58,0,0,0,0,81,661,126,33,84,9,t0803,2022-02-13
lubuskie,nowosolski,18,6,24,2.09,0.7,2.79,0,0,0,1,125,711,160,28,128,4,t0804,2022-02-13
lubuskie,słubicki,59,2,61,12.58,0.43,13.01,0,0,0,1,79,597,199,66,123,10,t0805,2022-02-13
lubuskie,strzelecko-drezdenecki,35,1,36,7.16,0.2,7.37,0,0,0,0,40,461,150,39,101,10,t0806,2022-02-13
lubuskie,sulęciński,25,4,29,7.12,1.14,8.26,0,0,0,0,23,435,101,31,69,1,t0807,2022-02-13
lubuskie,świebodziński,33,3,36,5.93,0.54,6.47,0,0,0,0,88,859,107,38,64,5,t0808,2022-02-13
lubuskie,zielonogórski,43,6,49,5.68,0.79,6.48,0,0,0,3,69,752,194,50,134,10,t0809,2022-02-13
lubuskie,żagański,32,4,36,4.07,0.51,4.58,0,0,0,0,70,529,105,36,67,2,t0810,2022-02-13
lubuskie,żarski,54,7,61,5.64,0.73,6.37,0,0,0,0,87,784,199,64,132,3,t0811,2022-02-13
lubuskie,wschowski,17,0,17,4.38,0.0,4.38,0,0,0,0,41,285,57,17,39,1,t0812,2022-02-13
lubuskie,Gorzów Wielkopolski,106,13,119,8.59,1.05,9.65,0,0,0,0,98,868,371,132,230,9,t0861,2022-02-13
lubuskie,Zielona Góra,72,10,82,5.1,0.71,5.8,0,0,0,0,198,1196,318,87,226,5,t0862,2022-02-13
łódzkie,bełchatowski,19,3,22,1.69,0.27,1.95,0,0,0,3,106,763,103,25,76,2,t1001,2022-02-13
łódzkie,kutnowski,32,0,32,3.33,0.0,3.33,0,0,0,0,143,850,126,38,85,3,t1002,2022-02-13
łódzkie,łaski,13,0,13,2.61,0.0,2.61,1,0,1,1,50,336,74,14,60,0,t1003,2022-02-13
łódzkie,łęczycki,7,0,7,1.41,0.0,1.41,0,0,0,0,76,479,63,8,55,0,t1004,2022-02-13
łódzkie,łowicki,19,2,21,2.44,0.26,2.7,0,0,0,1,129,804,104,24,77,3,t1005,2022-02-13
łódzkie,łódzki wschodni,29,3,32,4.01,0.41,4.42,0,0,0,9,136,655,185,34,148,3,t1006,2022-02-13
łódzkie,opoczyński,6,1,7,0.79,0.13,0.92,0,0,0,0,44,340,62,9,51,2,t1007,2022-02-13
łódzkie,pabianicki,48,4,52,4.03,0.34,4.36,0,0,0,2,177,962,207,55,150,2,t1008,2022-02-13
łódzkie,pajęczański,10,0,10,1.96,0.0,1.96,0,0,0,1,44,501,64,20,43,1,t1009,2022-02-13
łódzkie,piotrkowski,11,2,13,1.2,0.22,1.42,0,0,0,0,93,857,96,17,78,1,t1010,2022-02-13
łódzkie,poddębicki,11,1,12,2.68,0.24,2.92,0,0,0,0,77,363,71,13,57,1,t1011,2022-02-13
łódzkie,radomszczański,11,1,12,0.98,0.09,1.07,0,0,0,0,119,840,95,17,78,0,t1012,2022-02-13
łódzkie,rawski,7,0,7,1.44,0.0,1.44,0,0,0,1,67,681,50,9,41,0,t1013,2022-02-13
łódzkie,sieradzki,20,2,22,1.7,0.17,1.87,0,0,0,3,136,858,148,30,114,4,t1014,2022-02-13
łódzkie,skierniewicki,8,1,9,2.1,0.26,2.36,0,0,0,0,76,388,40,11,28,1,t1015,2022-02-13
łódzkie,tomaszowski,23,0,23,1.98,0.0,1.98,0,0,0,1,187,757,105,24,79,2,t1016,2022-02-13
łódzkie,wieluński,13,1,14,1.71,0.13,1.84,0,0,0,1,62,628,96,26,70,0,t1017,2022-02-13
łódzkie,wieruszowski,10,0,10,2.38,0.0,2.38,0,0,0,0,32,233,40,10,30,0,t1018,2022-02-13
łódzkie,zduńskowolski,9,2,11,1.36,0.3,1.66,0,0,0,0,48,388,70,15,54,1,t1019,2022-02-13
łódzkie,zgierski,45,2,47,2.71,0.12,2.83,0,0,0,2,289,1516,237,50,181,6,t1020,2022-02-13
łódzkie,brzeziński,13,1,14,4.22,0.32,4.55,0,0,0,0,59,326,41,15,26,0,t1021,2022-02-13
łódzkie,Łódź,322,33,355,4.75,0.49,5.24,0,0,0,29,1602,5205,1398,390,990,18,t1061,2022-02-13
łódzkie,Piotrków Trybunalski,12,0,12,1.65,0.0,1.65,0,0,0,1,73,450,88,17,71,0,t1062,2022-02-13
łódzkie,Skierniewice,29,2,31,6.05,0.42,6.47,0,0,0,0,119,368,94,38,54,2,t1063,2022-02-13
małopolskie,bocheński,14,2,16,1.31,0.19,1.5,0,0,0,3,88,431,130,18,111,1,t1201,2022-02-13
małopolskie,brzeski,10,0,10,1.07,0.0,1.07,0,0,0,0,52,401,97,11,86,0,t1202,2022-02-13
małopolskie,chrzanowski,26,3,29,2.09,0.24,2.34,0,0,0,1,110,859,147,30,114,3,t1203,2022-02-13
małopolskie,dąbrowski,6,0,6,1.01,0.0,1.01,0,0,0,0,28,283,55,7,47,1,t1204,2022-02-13
małopolskie,gorlicki,10,1,11,0.92,0.09,1.01,0,0,0,0,49,472,79,11,62,6,t1205,2022-02-13
małopolskie,krakowski,67,10,77,2.39,0.36,2.75,0,0,0,0,329,2101,404,83,314,7,t1206,2022-02-13
małopolskie,limanowski,8,0,8,0.61,0.0,0.61,0,0,0,1,46,358,80,9,71,0,t1207,2022-02-13
małopolskie,miechowski,5,0,5,1.03,0.0,1.03,0,0,0,0,52,274,41,5,36,0,t1208,2022-02-13
małopolskie,myślenicki,29,5,34,2.27,0.39,2.66,0,0,0,7,37,551,114,34,78,2,t1209,2022-02-13
małopolskie,nowosądecki,16,1,17,0.74,0.05,0.78,1,0,1,1,100,712,192,20,172,0,t1210,2022-02-13
małopolskie,nowotarski,5,0,5,0.26,0.0,0.26,0,0,0,0,52,326,119,6,112,1,t1211,2022-02-13
małopolskie,olkuski,27,3,30,2.43,0.27,2.71,0,0,0,1,173,910,118,32,84,2,t1212,2022-02-13
małopolskie,oświęcimski,26,2,28,1.7,0.13,1.83,0,0,0,1,233,1116,164,33,120,11,t1213,2022-02-13
małopolskie,proszowicki,9,0,9,2.09,0.0,2.09,0,0,0,0,10,273,79,14,65,0,t1214,2022-02-13
małopolskie,suski,12,0,12,1.43,0.0,1.43,0,0,0,2,87,465,80,16,61,3,t1215,2022-02-13
małopolskie,tarnowski,31,1,32,1.54,0.05,1.59,0,0,0,0,89,1081,161,33,125,3,t1216,2022-02-13
małopolskie,tatrzański,8,0,8,1.17,0.0,1.17,0,0,0,2,21,130,79,9,70,0,t1217,2022-02-13
małopolskie,wadowicki,27,2,29,1.69,0.13,1.81,0,0,0,0,149,1078,162,30,129,3,t1218,2022-02-13
małopolskie,wielicki,37,3,40,2.85,0.23,3.08,0,0,0,1,178,1001,152,42,110,0,t1219,2022-02-13
małopolskie,Kraków,246,23,269,3.15,0.29,3.44,0,0,0,16,1136,4989,1288,284,989,15,t1261,2022-02-13
małopolskie,Nowy Sącz,11,1,12,1.31,0.12,1.43,0,0,0,0,37,240,76,15,61,0,t1262,2022-02-13
małopolskie,Tarnów,16,1,17,1.48,0.09,1.57,0,0,0,0,51,422,95,17,78,0,t1263,2022-02-13
mazowieckie,białobrzeski,2,0,2,0.6,0.0,0.6,0,0,0,0,44,424,39,2,37,0,t1401,2022-02-13
mazowieckie,ciechanowski,20,1,21,2.24,0.11,2.35,0,0,0,3,115,535,143,26,117,0,t1402,2022-02-13
mazowieckie,garwoliński,11,0,11,1.01,0.0,1.01,0,0,0,0,155,991,137,11,121,5,t1403,2022-02-13
mazowieckie,gostyniński,12,1,13,2.68,0.22,2.9,0,0,0,0,46,337,56,14,40,2,t1404,2022-02-13
mazowieckie,grodziski,33,0,33,3.41,0.0,3.41,0,0,0,0,169,1170,230,36,193,1,t1405,2022-02-13
mazowieckie,grójecki,27,3,30,2.75,0.31,3.06,0,0,0,0,149,2551,162,30,128,4,t1406,2022-02-13
mazowieckie,kozienicki,25,5,30,4.18,0.84,5.02,0,0,0,9,104,572,137,31,106,0,t1407,2022-02-13
mazowieckie,legionowski,39,6,45,3.27,0.5,3.77,0,0,0,0,155,1155,287,45,236,6,t1408,2022-02-13
mazowieckie,lipski,13,1,14,3.85,0.3,4.15,0,0,0,0,28,190,46,15,29,2,t1409,2022-02-13
mazowieckie,łosicki,7,1,8,2.28,0.33,2.61,0,0,0,1,29,238,44,9,35,0,t1410,2022-02-13
mazowieckie,makowski,3,1,4,0.67,0.22,0.9,0,0,0,0,49,225,26,4,22,0,t1411,2022-02-13
mazowieckie,miński,40,1,41,2.58,0.06,2.65,0,0,0,1,215,1431,350,80,252,18,t1412,2022-02-13
mazowieckie,mławski,14,0,14,1.93,0.0,1.93,0,0,0,0,74,739,83,16,66,1,t1413,2022-02-13
mazowieckie,nowodworski,26,1,27,3.27,0.13,3.4,0,0,0,0,119,683,140,34,105,1,t1414,2022-02-13
mazowieckie,ostrołęcki,9,0,9,1.02,0.0,1.02,0,0,0,2,50,578,76,9,67,0,t1415,2022-02-13
mazowieckie,ostrowski,19,2,21,2.64,0.28,2.91,0,0,0,1,78,544,86,22,60,4,t1416,2022-02-13
mazowieckie,otwocki,56,4,60,4.5,0.32,4.82,0,0,0,2,208,1239,285,64,211,10,t1417,2022-02-13
mazowieckie,piaseczyński,111,10,121,5.86,0.53,6.38,0,0,0,4,261,2349,572,125,434,13,t1418,2022-02-13
mazowieckie,płocki,17,0,17,1.53,0.0,1.53,0,0,0,0,143,857,130,19,110,1,t1419,2022-02-13
mazowieckie,płoński,13,1,14,1.5,0.12,1.61,0,0,0,0,80,778,123,15,106,2,t1420,2022-02-13
mazowieckie,pruszkowski,69,9,78,4.15,0.54,4.69,0,0,0,1,256,1712,572,84,484,4,t1421,2022-02-13
mazowieckie,przasnyski,27,2,29,5.16,0.38,5.54,0,0,0,0,48,398,95,29,66,0,t1422,2022-02-13
mazowieckie,przysuski,4,1,5,0.97,0.24,1.21,0,0,0,0,34,464,38,5,33,0,t1423,2022-02-13
mazowieckie,pułtuski,15,1,16,2.89,0.19,3.09,0,0,0,0,62,409,62,17,44,1,t1424,2022-02-13
mazowieckie,radomski,48,1,49,3.15,0.07,3.22,0,0,0,0,139,1316,272,53,209,10,t1425,2022-02-13
mazowieckie,siedlecki,13,4,17,1.6,0.49,2.09,0,0,0,3,82,920,132,22,108,2,t1426,2022-02-13
mazowieckie,sierpecki,5,0,5,0.97,0.0,0.97,0,0,0,0,34,426,43,5,36,2,t1427,2022-02-13
mazowieckie,sochaczewski,20,2,22,2.35,0.24,2.59,0,0,0,0,98,911,122,23,97,2,t1428,2022-02-13
mazowieckie,sokołowski,4,0,4,0.75,0.0,0.75,0,0,0,0,36,281,92,26,61,5,t1429,2022-02-13
mazowieckie,szydłowiecki,13,0,13,3.29,0.0,3.29,0,0,0,0,31,215,73,16,57,0,t1430,2022-02-13
mazowieckie,warszawski zachodni,40,6,46,3.35,0.5,3.85,0,0,0,2,149,1152,308,47,254,7,t1432,2022-02-13
mazowieckie,węgrowski,16,0,16,2.44,0.0,2.44,0,0,0,1,66,508,137,35,91,11,t1433,2022-02-13
mazowieckie,wołomiński,77,12,89,3.06,0.48,3.54,0,0,0,9,310,2222,430,100,325,5,t1434,2022-02-13
mazowieckie,wyszkowski,12,2,14,1.62,0.27,1.88,0,0,0,3,84,535,100,16,82,2,t1435,2022-02-13
mazowieckie,zwoleński,27,3,30,7.49,0.83,8.33,0,0,0,1,25,293,101,30,66,5,t1436,2022-02-13
mazowieckie,żuromiński,1,0,1,0.26,0.0,0.26,0,0,0,0,24,205,61,2,58,1,t1437,2022-02-13
mazowieckie,żyrardowski,24,1,25,3.17,0.13,3.31,0,0,0,0,82,798,133,27,101,5,t1438,2022-02-13
mazowieckie,Ostrołęka,9,0,9,1.73,0.0,1.73,0,0,0,0,41,287,54,9,45,0,t1461,2022-02-13
mazowieckie,Płock,25,2,27,2.1,0.17,2.27,0,0,0,1,165,634,177,28,147,2,t1462,2022-02-13
mazowieckie,Radom,44,4,48,2.09,0.19,2.28,0,0,0,0,207,1436,341,55,283,3,t1463,2022-02-13
mazowieckie,Siedlce,20,1,21,2.56,0.13,2.68,0,0,0,0,105,545,131,30,97,4,t1464,2022-02-13
mazowieckie,Warszawa,960,93,1053,5.35,0.52,5.87,0,0,0,30,2793,12878,5351,1132,4130,89,t1465,2022-02-13
opolskie,brzeski,14,0,14,1.56,0.0,1.56,0,0,0,2,117,707,75,17,58,0,t1601,2022-02-13
opolskie,głubczycki,10,1,11,2.21,0.22,2.43,0,0,0,13,96,394,217,11,206,0,t1602,2022-02-13
opolskie,kędzierzyńsko-kozielski,39,6,45,4.17,0.64,4.81,0,0,0,1,181,918,146,50,96,0,t1603,2022-02-13
opolskie,kluczborski,26,1,27,3.98,0.15,4.14,0,0,0,0,59,438,105,30,75,0,t1604,2022-02-13
opolskie,krapkowicki,11,1,12,1.73,0.16,1.89,0,0,0,3,69,596,91,16,74,1,t1605,2022-02-13
opolskie,namysłowski,4,0,4,0.94,0.0,0.94,0,0,0,3,35,387,52,7,45,0,t1606,2022-02-13
opolskie,nyski,51,4,55,3.76,0.3,4.06,0,0,0,0,302,1035,171,60,108,3,t1607,2022-02-13
opolskie,oleski,14,0,14,2.18,0.0,2.18,0,0,0,0,79,419,74,16,58,0,t1608,2022-02-13
opolskie,opolski,30,0,30,2.42,0.0,2.42,0,0,0,12,125,1017,182,36,144,2,t1609,2022-02-13
opolskie,prudnicki,11,3,14,2.0,0.54,2.54,0,0,0,0,61,363,69,14,53,2,t1610,2022-02-13
opolskie,strzelecki,18,0,18,2.43,0.0,2.43,0,0,0,2,129,764,80,21,59,0,t1611,2022-02-13
opolskie,Opole,46,2,48,3.59,0.16,3.75,0,0,0,18,233,1141,278,57,221,0,t1661,2022-02-13
podkarpackie,bieszczadzki,2,0,2,0.93,0.0,0.93,0,0,0,0,5,89,22,3,19,0,t1801,2022-02-13
podkarpackie,brzozowski,2,0,2,0.31,0.0,0.31,0,0,0,0,37,372,53,3,49,1,t1802,2022-02-13
podkarpackie,dębicki,12,0,12,0.89,0.0,0.89,0,0,0,0,88,833,99,12,87,0,t1803,2022-02-13
podkarpackie,jarosławski,20,6,26,1.67,0.5,2.16,0,0,0,2,93,644,181,27,153,1,t1804,2022-02-13
podkarpackie,jasielski,9,0,9,0.79,0.0,0.79,0,0,0,0,45,486,127,9,118,0,t1805,2022-02-13
podkarpackie,kolbuszowski,3,0,3,0.48,0.0,0.48,0,0,0,0,27,188,43,4,39,0,t1806,2022-02-13
podkarpackie,krośnieński,12,0,12,1.07,0.0,1.07,0,0,0,0,58,548,81,14,67,0,t1807,2022-02-13
podkarpackie,leżajski,3,1,4,0.43,0.14,0.58,0,0,0,0,47,282,51,7,44,0,t1808,2022-02-13
podkarpackie,lubaczowski,13,4,17,2.36,0.73,3.09,0,0,0,0,67,409,80,17,63,0,t1809,2022-02-13
podkarpackie,łańcucki,10,1,11,1.23,0.12,1.36,0,0,0,3,61,593,75,12,63,0,t1810,2022-02-13
podkarpackie,mielecki,21,1,22,1.54,0.07,1.61,0,0,0,0,112,915,151,24,127,0,t1811,2022-02-13
podkarpackie,niżański,11,1,12,1.66,0.15,1.81,0,0,0,0,23,452,64,13,51,0,t1812,2022-02-13
podkarpackie,przemyski,17,0,17,2.3,0.0,2.3,0,0,0,0,42,494,112,17,95,0,t1813,2022-02-13
podkarpackie,przeworski,9,2,11,1.15,0.26,1.41,0,0,0,0,53,401,77,11,65,1,t1814,2022-02-13
podkarpackie,ropczycko-sędziszowski,8,0,8,1.07,0.0,1.07,0,0,0,0,43,276,62,9,53,0,t1815,2022-02-13
podkarpackie,rzeszowski,31,2,33,1.82,0.12,1.94,0,0,0,3,117,1166,197,37,160,0,t1816,2022-02-13
podkarpackie,sanocki,6,0,6,0.64,0.0,0.64,0,0,0,0,21,475,87,7,80,0,t1817,2022-02-13
podkarpackie,stalowowolski,9,0,9,0.85,0.0,0.85,0,0,0,0,68,578,70,9,61,0,t1818,2022-02-13
podkarpackie,strzyżowski,8,1,9,1.31,0.16,1.47,0,0,0,0,61,463,54,10,44,0,t1819,2022-02-13
podkarpackie,tarnobrzeski,4,0,4,0.76,0.0,0.76,0,0,0,0,51,403,40,5,35,0,t1820,2022-02-13
podkarpackie,leski,1,0,1,0.38,0.0,0.38,0,0,0,0,17,156,15,1,14,0,t1821,2022-02-13
