wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,67,-,-,0.02,0,0,0,109,81,86921,23581,92,23447,42,t0000,2021-07-18
dolnośląskie,bolesławiecki,-,-,2,-,-,0.22,0,0,0,1,0,244,68,2,66,0,t0201,2021-07-18
dolnośląskie,dzierżoniowski,-,-,0,-,-,0.0,0,0,0,0,0,106,16,0,16,0,t0202,2021-07-18
dolnośląskie,głogowski,-,-,0,-,-,0.0,0,0,0,0,0,130,61,0,61,0,t0203,2021-07-18
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,0,0,56,21,0,21,0,t0204,2021-07-18
dolnośląskie,jaworski,-,-,0,-,-,0.0,0,0,0,0,0,87,7,0,7,0,t0205,2021-07-18
dolnośląskie,jeleniogórski,-,-,0,-,-,0.0,0,0,0,0,0,154,25,0,25,0,t0206,2021-07-18
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,0,0,87,4,0,4,0,t0207,2021-07-18
dolnośląskie,kłodzki,-,-,0,-,-,0.0,0,0,0,1,1,179,99,0,99,0,t0208,2021-07-18
dolnośląskie,legnicki,-,-,0,-,-,0.0,0,0,0,0,0,154,11,0,11,0,t0209,2021-07-18
dolnośląskie,lubański,-,-,0,-,-,0.0,0,0,0,0,0,64,12,0,12,0,t0210,2021-07-18
dolnośląskie,lubiński,-,-,0,-,-,0.0,0,0,0,1,0,78,53,0,53,0,t0211,2021-07-18
dolnośląskie,lwówecki,-,-,0,-,-,0.0,0,0,0,0,0,52,25,0,25,0,t0212,2021-07-18
dolnośląskie,milicki,-,-,0,-,-,0.0,0,0,0,0,1,52,11,0,11,0,t0213,2021-07-18
